,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,65700,State House of Representatives - District 157,100.0,"<b>William 'Bill' Werkheiser (I) (Rep)</b><br>19,664 votes",24,24
2,Rep,67800,State House of Representatives - District 178,100.0,"<b>Steven Meeks (I) (Rep)</b><br>24,660 votes",25,25
3,Rep,70700,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
4,Rep,,Appling County: Clerk of Superior Court,100.0,"<b>Marsha Thomas (I) (Rep)</b><br>7,179 votes",9,9
5,Rep,,Appling County: Sheriff,100.0,"<b>Mark Melton (I) (Rep)</b><br>6,806 votes",9,9
6,Rep,,Appling County: Tax Commissioner,100.0,"<b>Lacey Leggett (Rep)</b><br>6,933 votes",9,9
7,Rep,,Appling County: Surveyor,100.0,"<b>Jerry Tomberlin (I) (Rep)</b><br>6,998 votes",9,9
8,Rep,,Appling County: Coroner,100.0,"<b>Henry Jones (Rep)</b><br>7,045 votes",9,9
9,Dem,,Appling County: County Commissioner - District 2,100.0,"<b>Jakharis Jones (Dem)</b><br>1,069 votes",1,1
10,Rep,,Appling County: County Commissioner - District 4,100.0,"<b>Chad Kent (Rep)</b><br>1,670 votes",2,2
11,Rep,,Appling County: County Commissioner - District 5,100.0,"<b>Ricky Barnes (Rep)</b><br>1,345 votes",2,2
12,,,Appling County: Councilmember - Graham,63.91752577319587,<b>Ralph Crosby</b><br>62 votes,1,1
13,,,Appling County: Councilmember - Graham,36.08247422680412,<b>James Hill</b><br>35 votes,1,1
14,,,Appling County: Councilmember - Surrency,100.0,<b>Frank White</b><br>65 votes,1,1
15,,,Appling County: Appling Ad Valorem Tax,63.26824793605033,"<b>Yes</b><br>4,828 votes",9,9
16,,,Appling County: Appling Ad Valorem Tax,36.73175206394968,"<b>No</b><br>2,803 votes",9,9
