,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67600,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
2,Rep,70000,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
3,Rep,,Atkinson County: Clerk of Superior Court,100.0,"<b>Cynthia Giddens Dillingham (I) (Rep)</b><br>2,686 votes",4,4
4,Ind,,Atkinson County: Sheriff,100.0,"<b>David Moore (I) (Ind)</b><br>2,568 votes",4,4
5,Rep,,Atkinson County: Tax Commissioner,100.0,"<b>Fonda H. Lee (I) (Rep)</b><br>2,697 votes",4,4
6,Ind,,Atkinson County: Coroner,100.0,"<b>Jake P. Relihan (I) (Ind)</b><br>2,730 votes",4,4
7,Rep,,Atkinson County: County Commission - District 1,53.43915343915344,<b>Buddy Willis (I) (Rep)</b><br>303 votes,1,1
8,Rep,,Atkinson County: County Commission - District 3,100.0,<b>Charlton Gillis (I) (Rep)</b><br>706 votes,2,2
9,Rep,,Atkinson County: County Commission - District 5,100.0,<b>Tom Morris (I) (Rep)</b><br>625 votes,2,2
10,,,Atkinson County: Soil and Water Conservation District - Alapaha District,100.0,"<b>Marvin Hampton Giddens</b><br>2,503 votes",4,4
11,Ind,,Atkinson County: County Commission - District 1,46.56084656084656,"<b>Harvey Williams, Jr. (Ind)</b><br>264 votes",1,1
