,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
1,Rep,67800,State House of Representatives - District 178,100.0,"<b>Steven Meeks (I) (Rep)</b><br>24,660 votes",25,25
2,Rep,,Bacon County: Clerk of Superior Court,100.0,"<b>Shawna M. Carver (I) (Rep)</b><br>4,201 votes",1,1
3,Rep,,Bacon County: Sheriff,72.30704873457435,"<b>Andy Batten (I) (Rep)</b><br>3,457 votes",1,1
4,Dem,,Bacon County: Sheriff,27.69295126542564,"<b>Bernard Cooks (Dem)</b><br>1,324 votes",1,1
5,Rep,,Bacon County: Tax Commissioner,100.0,"<b>Sarah Hutchinson (Rep)</b><br>4,213 votes",1,1
6,Rep,,Bacon County: Coroner,100.0,"<b>Vic Peacock (I) (Rep)</b><br>4,221 votes",1,1
7,Rep,,Bacon County: County Commision Chair,100.0,"<b>Shane Taylor (I) (Rep)</b><br>4,161 votes",1,1
8,Dem,,Bacon County: County Commission - District 2,100.0,<b>Lee A. Hagans (Dem) (I)</b><br>390 votes,1,1
9,Rep,,Bacon County: County Commission - District 5,100.0,<b>Rusty Sears (Rep)</b><br>964 votes,1,1
10,Rep,,Bacon County: Surveyor,100.0,"<b>Everett ""Shon"" Tomberlin (Rep)</b><br>4,201 votes",1,1
