,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
2,Rep,73100,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
3,Dem,,Baker County: Judge of Probate Court,100.0,"<b>Angela ""Angel"" Hendricks (I) (Dem)</b><br>1,185 votes",5,5
4,Dem,,Baker County: Clerk of Superior Court,100.0,"<b>Stephanie Key (I) (Dem)</b><br>1,159 votes",5,5
5,Dem,,Baker County: Sheriff,100.0,"<b>Dana Meade (I) (Dem)</b><br>1,153 votes",5,5
6,Dem,,Baker County: Tax Commissioner,100.0,"<b>Jessica Craft (I) (Dem)</b><br>1,160 votes",5,5
7,Dem,,Baker County: Coroner,100.0,"<b>Alvin R. Lofton (I) (Dem)</b><br>1,116 votes",5,5
8,Dem,,Baker County: County Commission - Anna,100.0,"<b>Matt Bryan (I) (Dem)</b><br>1,117 votes",5,5
9,Dem,,Baker County: County Commission - Elmodel,100.0,"<b>Connie C. Hobbs (I) (Dem)</b><br>1,117 votes",5,5
10,Dem,,Baker County: County Commission - Hogards Mill,100.0,"<b>Chris Moore (I) (Dem)</b><br>1,115 votes",5,5
11,Dem,,Baker County: County Commission - Milford,100.0,"<b>Tommy Rentz (I) (Dem)</b><br>1,111 votes",5,5
12,Dem,,Baker County: County Commission - Newton,100.0,"<b>Vann Irvin (I) (Dem)</b><br>1,143 votes",5,5
13,Dem,,Baker County: County BOE - Anna,100.0,"<b>Lydia E. Burch (I) (Dem)</b><br>1,108 votes",5,5
14,Dem,,Baker County: County BOE - Elmodel,100.0,"<b>Kenneth Deese (I) (Dem)</b><br>1,129 votes",5,5
15,Dem,,Baker County: County BOE - Hogards Mill,100.0,"<b>Janet Miller Anderson (I) (Dem)</b><br>1,092 votes",5,5
16,Dem,,Baker County: County BOE - Milford,100.0,"<b>Bonnie Hudson Kelly (I) (Dem)</b><br>1,108 votes",5,5
17,Dem,,Baker County: County BOE - Newton,100.0,"<b>Malcolm Parker (I) (Dem)</b><br>1,116 votes",5,5
