,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
1,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
2,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
3,Rep,64900,State House of Representatives - District 149,46.00498338870432,"<b>Ken Vance (I) (Rep)</b><br>11,078 votes",21,21
4,Dem,64900,State House of Representatives - District 149,53.995016611295675,"<b>Floyd Griffin (Dem)</b><br>13,002 votes",21,21
5,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
6,Ind,,Baldwin County: Clerk of Superior Court,100.0,"<b>Wanda T. Paul (Ind)</b><br>14,815 votes",14,14
7,Ind,,Baldwin County: Sheriff,100.0,"<b>W.C. ""Bill"" Massee, Jr. (Ind)</b><br>16,400 votes",14,14
8,Rep,,Baldwin County: Surveyor,100.0,"<b>James E. Smith, Jr. (Rep)</b><br>14,121 votes",14,14
9,Ind,,Baldwin County: Tax Commissioner,100.0,"<b>Cathy Freeman Settle (Ind)</b><br>16,026 votes",14,14
10,Dem,,Baldwin County: Coroner,100.0,"<b>John Gonzalez (Dem)</b><br>15,444 votes",14,14
11,Dem,,Baldwin County: Chief Magistrate,100.0,"<b>Shane M. Geeter (I) (Dem)</b><br>15,103 votes",14,14
12,Rep,,Baldwin County: Solicitor General,100.0,"<b>Skye Gess (I)  (Rep)</b><br>14,210 votes",14,14
13,Dem,,Baldwin County: County Commissioner - District 1,100.0,"<b>Emily C. Davis (I) (Dem)</b><br>2,650 votes",9,9
14,Dem,,Baldwin County: County Commissioner - District 2,100.0,"<b>Kendrick B. Butts (I) (Dem)</b><br>2,128 votes",6,6
15,Rep,,Baldwin County: County Commissioner - District 3,100.0,"<b>Sammy Hall (I) (Rep)</b><br>2,239 votes",9,9
16,Rep,,Baldwin County: County Commissioner - District 4,100.0,"<b>Andrew Strickland (Rep)</b><br>4,084 votes",5,5
17,Rep,,Baldwin County: County Commissioner - District 5,100.0,"<b>Scott Little (Rep)</b><br>4,312 votes",6,6
18,,,Baldwin County: Piedmont Soil and Water District Supervisor,100.0,"<b>Emory ""Al"" Burgamy</b><br>14,217 votes",14,14
