,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,53200,State House of Representatives - District 32,100.0,"<b>Chris Erwin (I) (Rep)</b><br>27,370 votes",17,17
3,Rep,72900,District Attorney - Piedmont Judicial Circuit,100.0,"<b>J. Bradley Smith (I) (Rep)</b><br>88,274 votes",25,25
4,Rep,,Banks County: Clerk of Superior Court,100.0,"<b>Tim Harper (I) (Rep)</b><br>9,748 votes",13,13
5,Rep,,Banks County: Sheriff,100.0,"<b>Carlton Speed (I) (Rep)</b><br>9,689 votes",13,13
6,Rep,,Banks County: Tax Commissioner,100.0,"<b>Becky Carlan (I) (Rep)</b><br>9,783 votes",13,13
7,Rep,,Banks County: County Surveyor,100.0,"<b>Andrew Jordan (I) (Rep)</b><br>9,652 votes",13,13
8,Rep,,Banks County: Coroner,100.0,"<b>Brian Ivey (Rep)</b><br>9,633 votes",13,13
9,Rep,,Banks County: County Commission Chairman,100.0,"<b>Taylor Griffith (Rep)</b><br>9,585 votes",13,13
10,Rep,,Banks County: County Commission - District 2,100.0,"<b>Bo Garrison (I) (Rep)</b><br>9,585 votes",13,13
11,Rep,,Banks County: County Commission - District 4,100.0,"<b>Keith Gardiner (I) (Rep)</b><br>9,562 votes",13,13
12,Rep,,Banks County: County BOE - Post 1,100.0,"<b>Anthony Seabolt (I) (Rep)</b><br>9,462 votes",13,13
13,Rep,,Banks County: County BOE - Post 2,100.0,"<b>William Reems (Rep)</b><br>9,353 votes",13,13
14,Rep,,Banks County: County BOE - Post 4,100.0,"<b>Tyler Maney (Rep)</b><br>9,566 votes",13,13
15,,,Banks County: Special City Councilmember Post 2 - Baldwin,51.45985401459854,<b>Nancy Lehman</b><br>141 votes,1,1
16,,,Banks County: Special City Councilmember Post 2 - Baldwin,48.54014598540146,<b>Mark Mullinax</b><br>133 votes,1,1
