,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,43700,State Senate - District 37,57.476236202020914,"<b>Ed Setzler (I) (Rep)</b><br>65,243 votes",43,43
1,Dem,43700,State Senate - District 37,42.523763797979086,"<b>Vanessa Ella Parker (Dem)</b><br>48,270 votes",43,43
2,Rep,45200,State Senate - District 52,100.0,"<b>Chuck Hufstetler (I) (Rep)</b><br>80,598 votes",35,35
3,Rep,51400,State House of Representatives - District 14,100.0,"<b>Mitchell L. Scoggins (I) (Rep)</b><br>30,460 votes",13,13
4,Rep,51500,State House of Representatives - District 15,100.0,"<b>Matthew Gambill (I) (Rep)</b><br>25,032 votes",10,10
5,Rep,70850,District Attorney - Cherokee Judicial Circuit,100.0,"<b>Erle J. Newton, III (Rep)</b><br>72,987 votes",29,29
6,Rep,,Bartow County: Clerk of Superior Court,100.0,"<b>Josh Biddy (Rep)</b><br>49,176 votes",17,17
7,Rep,,Bartow County: Sheriff,100.0,"<b>Clark Millsap (I) (Rep)</b><br>48,887 votes",17,17
8,Rep,,Bartow County: Tax Commissioner,100.0,"<b>Steve Stewart (I) (Rep)</b><br>48,830 votes",17,17
9,Rep,,Bartow County: Coroner,100.0,"<b>Joel Thomas Guyton (I) (Rep)</b><br>49,766 votes",17,17
10,Rep,,Bartow County: Chief Magistrate,77.14290830304225,"<b>Brandon T. Bryson (I) (Rep)</b><br>43,082 votes",17,17
11,Dem,,Bartow County: Chief Magistrate,22.85709169695776,"<b>Janice B. Ledbetter (Dem)</b><br>12,765 votes",17,17
12,Rep,,Bartow County: Sole County Commissioner,100.0,"<b>Steve Taylor (I) (Rep)</b><br>46,133 votes",17,17
13,Rep,,Bartow County: County BOE - District 4,100.0,"<b>Butch Emerson (I) (Rep)</b><br>8,751 votes",4,4
14,Rep,,Bartow County: County BOE - District 5,100.0,"<b>Sharon Nelson Viktora (Rep)</b><br>8,643 votes",4,4
15,,,Bartow County: SPLOST,57.348793481667194,"<b>Yes</b><br>31,110 votes",17,17
16,,,Bartow County: SPLOST,42.65120651833281,"<b>No</b><br>23,137 votes",17,17
17,,,Bartow County: County School District Homestead Exemption,74.6434592427211,"<b>Yes</b><br>32,764 votes",15,15
18,,,Bartow County: County School District Homestead Exemption,25.3565407572789,"<b>No</b><br>11,130 votes",15,15
19,,,"Bartow County: City Council, Post 2",41.03139013452915,<b>Rebekah Wilkey Beaver</b><br>183 votes,1,1
20,,,"Bartow County: City Council, Post 2",41.92825112107623,<b>Kathleen E. Posey</b><br>187 votes,1,1
21,,,"Bartow County: City Council, Post 2",17.040358744394617,<b>Kevin J. Wilber</b><br>76 votes,1,1
