,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,64800,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
2,Rep,65600,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
3,Rep,,Ben Hill County: Clerk of Superior Court,66.09394703656999,"<b>Kimberly Newell (Rep)</b><br>4,193 votes",1,1
4,Dem,,Ben Hill County: Clerk of Superior Court,33.906052963430014,"<b>Celanese L. Floyd (Dem)</b><br>2,151 votes",1,1
5,Rep,,Ben Hill County: Sheriff,71.15324836804476,"<b>Lee Cone (l) (Rep)</b><br>4,578 votes",1,1
6,Dem,,Ben Hill County: Sheriff,28.846751631955236,"<b>Michael Gaulden (Dem)</b><br>1,856 votes",1,1
7,Rep,,Ben Hill County: Tax Commissioner,100.0,"<b>Barry Foster (I) (Rep)</b><br>5,547 votes",1,1
8,Rep,,Ben Hill County: Coroner,100.0,"<b>Steven ""Mark"" Shealy (I) (Rep)</b><br>5,434 votes",1,1
9,Dem,,"Ben Hill County: County Commission - District 2, Post 1",100.0,"<b>Bennie Calloway (I) (Dem)</b><br>2,204 votes",1,1
10,Rep,,"Ben Hill County: County Commission - District 3, Post 2",100.0,"<b>Daniel Cowan (I) (Rep)</b><br>3,323 votes",1,1
11,Rep,,Ben Hill County: County Commission - At Large,100.0,"<b>Howard ""Hal"" Wiley (Rep)</b><br>5,364 votes",1,1
12,,,Ben Hill County: County BOE - District 6 (Special),52.8942115768463,<b>Austin Futch</b><br>265 votes,1,1
13,,,Ben Hill County: County BOE - District 6 (Special),47.1057884231537,<b>Kenneth Palmer (I)</b><br>236 votes,1,1
