,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,67000,State House of Representatives - District 170,100.0,"<b>Jaclyn Dixon Ford (Rep)</b><br>20,743 votes",18,18
2,Rep,70000,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
3,Rep,,Berrien County: Clerk of Superior Court,100.0,"<b>Shawna Hughes (I) (Rep)</b><br>7,374 votes",5,5
4,Rep,,Berrien County: Sheriff,100.0,"<b>Ray Paulk (I) (Rep)</b><br>7,477 votes",5,5
5,Rep,,Berrien County: Tax Commissioner,100.0,"<b>Jason P. Nugent (I) (Rep)</b><br>7,471 votes",5,5
6,Rep,,Berrien County: Coroner,100.0,"<b>Robert S. Lovein, Jr. (I) (Rep)</b><br>7,444 votes",5,5
7,Rep,,Berrien County: County Commissioner Post 1,100.0,"<b>John Nugent (I) (Rep)</b><br>7,335 votes",5,5
8,Rep,,Berrien County: County Commissioner Post 4,100.0,"<b>Kylon J. Fort (Rep)</b><br>7,207 votes",5,5
9,Rep,,Berrien County: County Commissioner Post 5,100.0,"<b>Pixie Harrod (I) (Rep)</b><br>7,152 votes",5,5
10,Rep,,Berrien County: County Board of Education District 1,100.0,"<b>Dan Alan Taylor (Rep)</b><br>1,172 votes",2,2
11,Rep,,Berrien County: County Board of Education District 3,100.0,<b>Michelle Watson Davis (I) (Rep)</b><br>941 votes,2,2
12,Rep,,Berrien County: County Board of Education District 6,100.0,"<b>Michele M. Garner (Rep)</b><br>1,197 votes",2,2
13,Rep,,Berrien County: County Board of Education District 7,100.0,<b>Keith Powell (I) (Rep)</b><br>792 votes,1,1
