,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
2,Rep,,Brantley County: Clerk of Superior Court,100.0,"<b>Debbie Sirmans (I) (Rep)</b><br>7,782 votes",3,3
3,Rep,,Brantley County: Sheriff,100.0,"<b>Len Davis (I) (Rep)</b><br>7,726 votes",3,3
4,Rep,,Brantley County: Tax Commissioner,100.0,"<b>Pat Dowling Tompkins (I) (Rep)</b><br>7,723 votes",3,3
5,Rep,,Brantley County: Coroner,100.0,"<b>Wyatt C. Blount (I) (Rep)</b><br>7,726 votes",3,3
6,Rep,,Brantley County: Surveyor,100.0,"<b>Harry A. Strickland (I) (Rep)</b><br>7,626 votes",3,3
7,Rep,,Brantley County: County Commission Chairman,100.0,"<b>Chris Skipper Harris (I) (Rep)</b><br>7,301 votes",3,3
8,Rep,,Brantley County: County Commission Post 2,100.0,"<b>Hal Herndon (I) (Rep)</b><br>7,341 votes",3,3
9,Rep,,Brantley County: County Commission Post 3,100.0,"<b>Randy E. Davison (I) (Rep)</b><br>7,319 votes",3,3
