,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67500,State House of Representatives - District 175,71.94507213627672,"<b>John LaHood (I) (Rep)</b><br>20,695 votes",18,18
2,Dem,67500,State House of Representatives - District 175,28.05492786372327,"<b>Anissa Knight Wiseman (Dem)</b><br>8,070 votes",18,18
3,Rep,73200,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
4,Rep,,Brooks County: Clerk of Superior Court,100.0,"<b>Belinda Wheeler (I) (Rep)</b><br>5,749 votes",7,7
5,Rep,,Brooks County: Sheriff,72.36560673035791,"<b>Mike Dewey (I) (Rep)</b><br>5,075 votes",7,7
6,Dem,,Brooks County: Sheriff,27.634393269642093,"<b>Tom Wheeler (Dem)</b><br>1,938 votes",7,7
7,Rep,,Brooks County: Tax Commissioner,100.0,"<b>Becky Rothrock (I) (Rep)</b><br>6,030 votes",7,7
8,Rep,,Brooks County: County Commission - District 4,67.60168302945301,<b>Myra Exum (I) (Rep)</b><br>964 votes,3,3
9,Dem,,Brooks County: County Commission - District 4,32.398316970546986,<b>Linda Mitchell (Dem)</b><br>462 votes,3,3
10,Dem,,Brooks County: County Commission - District 5,100.0,<b>James Maxwell (I) (Dem)</b><br>946 votes,3,3
11,Rep,,Brooks County: County BOE - At Large,63.805808409189424,"<b>Kanan Simpson (Rep)</b><br>4,416 votes",7,7
12,Dem,,Brooks County: County BOE - At Large,36.194191590810576,"<b>Ulysses Marable (Dem)</b><br>2,505 votes",7,7
13,Rep,,Brooks County: County Board of Education District 1,100.0,"<b>Andrew Shiver (Rep)</b><br>1,389 votes",4,4
14,Dem,,Brooks County: County Board of Education District 3,100.0,<b>Elizabeth Thomas (I) (Dem)</b><br>993 votes,3,3
15,Dem,,Brooks County: County Board of Education District 5,100.0,<b>Tenjurie Thomas (I) (Dem)</b><br>952 votes,3,3
16,,,Brooks County: Middle Georgia Soil & Water Conservation District Supervisor,100.0,"<b>Daniel Niewoehner (I)</b><br>5,566 votes",7,7
17,Ind,,Brooks County: Coroner,100.0,"<b>Delphanie S. McGhee (I) (Ind)</b><br>6,173 votes",7,7
