,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40100,State Senate - District 1,100.0,"<b>Ben Watson (I) (Rep)</b><br>76,992 votes",49,49
1,Rep,66000,State House of Representatives - District 160,100.0,"<b>Lehman Franklin (I) (Rep)</b><br>19,745 votes",13,13
2,Rep,66400,State House of Representatives - District 164,100.0,"<b>Ron Stephens (I) (Rep)</b><br>24,073 votes",16,16
3,Rep,66600,State House of Representatives - District 166,71.66166494338385,"<b>Jesse L. Petrea (I) (Rep)</b><br>28,416 votes",23,23
4,Dem,66600,State House of Representatives - District 166,28.338335056616142,"<b>Gay Fortson (Dem)</b><br>11,237 votes",23,23
5,Rep,,Bryan County: Probate Judge,100.0,"<b>BILLY D. REYNOLDS, SR. (I) (Rep)</b><br>20,652 votes",10,10
6,Rep,,Bryan County: Clerk of Superior Court,100.0,"<b>REBECCA ""BECKY"" G. CROWE (I) (Rep)</b><br>20,782 votes",10,10
7,Rep,,Bryan County: Sheriff,100.0,"<b>MARK D. CROWE (I) (Rep)</b><br>20,851 votes",10,10
8,Rep,,Bryan County: Tax Commissioner,100.0,"<b>PAMELA GUNTER (I) (Rep)</b><br>20,564 votes",10,10
9,Rep,,Bryan County: Coroner,100.0,"<b>BILL COX (I) (Rep)</b><br>20,739 votes",10,10
10,Rep,,Bryan County: State Court Solicitor,100.0,"<b>DON MONTGOMERY (I) (Rep)</b><br>20,387 votes",10,10
11,Rep,,Bryan County: County Commission Chairman,100.0,"<b>CARTER G. INFINGER (I) (Rep)</b><br>18,456 votes",10,10
12,Rep,,Bryan County: County Commission - District 1,100.0,"<b>ALEX FLOYD (Rep)</b><br>3,623 votes",2,2
13,Rep,,Bryan County: County Commission - District 3,100.0,"<b>JEFF NIELSEN (Rep)</b><br>3,859 votes",2,2
14,Rep,,Bryan County: Board of Education Vice Chair,100.0,"<b>MARIANNE SMITH (Rep)</b><br>20,401 votes",10,10
15,Rep,,Bryan County: School Board - District 2,100.0,"<b>DENNIS C. SEGER (I) (Rep)</b><br>3,131 votes",2,2
16,Rep,,Bryan County: School Board - District 3,100.0,"<b>DERRICK SMITH (I) (Rep)</b><br>3,828 votes",2,2
17,Rep,,Bryan County: (S) BOE - District 4,78.01110725442555,"<b>Karen Krupp (Rep)</b><br>4,495 votes",2,2
18,Rep,,Bryan County: (S) BOE - District 4,21.988892745574454,"<b>M. Thomas Seaman (Rep)</b><br>1,267 votes",2,2
19,,,Bryan County: Soil and Water Coastal District Supervisor,100.0,"<b>Jordan Given</b><br>19,989 votes",10,10
