,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40400,State Senate - District 4,100.0,"<b>Billy Hickman (I) (Rep)</b><br>74,309 votes",45,45
1,Rep,65800,State House of Representatives - District 158,72.89470495577366,"<b>Butch Parrish (I) (Rep)</b><br>18,048 votes",19,19
2,Dem,65800,State House of Representatives - District 158,27.10529504422634,"<b>Madeline Ryan Smith  (Dem)</b><br>6,711 votes",19,19
3,Rep,65900,State House of Representatives - District 159,100.0,"<b>Jon G. Burns (I) (Rep)</b><br>26,319 votes",22,22
4,Rep,66000,State House of Representatives - District 160,100.0,"<b>Lehman Franklin (I) (Rep)</b><br>19,745 votes",13,13
5,Rep,72800,District Attorney - Ogeechee Judicial Circuit,100.0,"<b>Robert Busbee (Rep)</b><br>65,604 votes",48,48
6,Rep,,Bulloch County: Solicitor General,100.0,"<b>Catherine Sumner Findley (I) (Rep)</b><br>26,594 votes",16,16
7,Rep,,Bulloch County: Clerk of Court,100.0,"<b>Heather Banks McNeal (I) (Rep)</b><br>26,927 votes",16,16
8,Rep,,Bulloch County: Sheriff,100.0,"<b>Noel J. Brown (I) (Rep)</b><br>27,593 votes",16,16
9,Rep,,Bulloch County: Tax Commissioner,100.0,"<b>Leslie D. Akins (I) (Rep)</b><br>27,079 votes",16,16
10,Rep,,Bulloch County: Surveyor,100.0,"<b>John A. Dotson (I) (Rep)</b><br>26,650 votes",16,16
11,Rep,,Bulloch County: Coroner,62.2851717043836,"<b>Chuck Francis (Rep)</b><br>19,679 votes",16,16
12,Dem,,Bulloch County: Coroner,37.71482829561639,"<b>Craig R. Tremble (Dem)</b><br>11,916 votes",16,16
13,Rep,,Bulloch County: Board of Commissioners Chairman,100.0,"<b>David Bennett (Rep)</b><br>26,476 votes",16,16
14,Rep,,Bulloch County: County Commissioner Dist 1 - Seat A,41.66540039507674,"<b>R. Ryan ""Rufus"" Brannen (Rep)</b><br>2,742 votes",10,10
15,Dem,,Bulloch County: County Commissioner Dist 1 - Seat A,58.33459960492326,"<b>Ray Edwin Mosley (I) (Dem)</b><br>3,839 votes",10,10
16,Rep,,Bulloch County: County Commissioner - District 2 - Seat A,100.0,"<b>Ray M. ""Rayford"" Davis (Rep)</b><br>21,515 votes",16,16
17,Rep,,Bulloch County: County Commissioner - District 2 - Seat C,73.07086614173228,"<b>Nick Newkirk (Rep)</b><br>18,096 votes",16,16
18,Dem,,Bulloch County: County Commissioner - District 2 - Seat C,26.92913385826772,"<b>Leonard ""Len"" Fatica (Dem)</b><br>6,669 votes",16,16
19,,,Bulloch County: (S) Statesboro City Council - Dist 1,18.83408071748879,<b>John Grotheer</b><br>378 votes,1,1
20,,,Bulloch County: (S) Statesboro City Council - Dist 1,30.29397110114599,<b>Ken Jackson</b><br>608 votes,1,1
21,,,Bulloch County: (S) Statesboro City Council - Dist 1,50.87194818136523,"<b>Tangie Johnson</b><br>1,021 votes",1,1
