,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62600,State House of Representatives - District 126,42.076482265253375,"<b>William C. Harris (Rep)</b><br>11,234 votes",29,29
3,Dem,62600,State House of Representatives - District 126,57.923517734746625,"<b>L.C. Myles, Jr. (Dem)</b><br>15,465 votes",29,29
4,Dem,70400,District Attorney - Augusta Judicial Circuit,100.0,"<b>Jared T. Williams (I) (Dem)</b><br>76,263 votes",84,84
5,Dem,,Burke County: Chief Magistrate,100.0,"<b>Cynthia D. Kelley (I) (Dem)</b><br>8,373 votes",16,16
6,Dem,,Burke County: Probate Court Judge,100.0,"<b>Ashley Moore, Jr. (I) (Dem)</b><br>8,595 votes",16,16
7,Dem,,Burke County: Clerk of Superior Court,100.0,"<b>Radeta Green Smith (I) (Dem)</b><br>8,644 votes",16,16
8,Dem,,Burke County: Sheriff,100.0,"<b>Alfonzo Williams (I) (Dem)</b><br>7,298 votes",16,16
9,Dem,,Burke County: Tax Commissioner,100.0,"<b>Marian S. Jackson (I) (Dem)</b><br>8,717 votes",16,16
10,Rep,,Burke County: Coroner,100.0,"<b>Val Prescott (I) (Rep)</b><br>8,863 votes",16,16
11,Rep,,Burke County: County Commissioner - District 1,49.05293831957261,"<b>Rodney Braswell (Rep)</b><br>1,010 votes",9,9
12,Dem,,Burke County: County Commissioner - District 1,50.947061680427396,"<b>Lucious Abrams, Jr. (I) (Dem)</b><br>1,049 votes",9,9
13,Rep,,Burke County: County Commissioner - District 3,68.49750340444848,"<b>Evans Martin (I) (Rep)</b><br>1,509 votes",3,3
14,Dem,,Burke County: County Commissioner - District 3,31.50249659555152,<b>George E. Wimberly (Dem)</b><br>694 votes,3,3
15,Rep,,Burke County: County Commissioner - District 5,56.26094570928196,"<b>Q.U. ""Art"" Lively, III. (I) (Rep)</b><br>1,285 votes",1,1
16,Dem,,Burke County: County Commissioner - District 5,43.73905429071804,<b>Pamala A. Bell (Dem)</b><br>999 votes,1,1
17,,,Burke County: (S) Waynesboro Redevelopment Powers Law,62.493715434891904,"<b>Yes</b><br>1,243 votes",3,3
18,,,Burke County: (S) Waynesboro Redevelopment Powers Law,37.506284565108096,<b>No</b><br>746 votes,3,3
