,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42500,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
1,Rep,61800,State House of Representatives - District 118,66.7787428784907,"<b>Clint Crowe (I) (Rep)</b><br>21,450 votes",13,13
2,Dem,61800,State House of Representatives - District 118,33.221257121509296,"<b>Sharonda Bell (Dem)</b><br>10,671 votes",13,13
3,Rep,73800,District Attorney - Towaliga Judicial Circuit,100.0,"<b>Jonathan L. Adams (I) (Rep)</b><br>34,958 votes",19,19
4,Rep,,Butts County: Clerk of Superior Court,100.0,"<b>Morgan Vereline Ward (I) (Rep)</b><br>11,131 votes",1,1
5,Rep,,Butts County: Sheriff,76.37315415266818,"<b>Gary Long (I) (Rep)</b><br>9,775 votes",1,1
6,Dem,,Butts County: Sheriff,23.626845847331822,"<b>James Robert Morgan (Dem)</b><br>3,024 votes",1,1
7,Rep,,Butts County: Tax Commissioner,73.57103761044648,"<b>Nancy J. Washington (I) (Rep)</b><br>9,409 votes",1,1
8,Dem,,Butts County: Tax Commissioner,26.428962389553522,"<b>Lakeicha Goodrum (Dem)</b><br>3,380 votes",1,1
9,Rep,,Butts County: Coroner,100.0,"<b>Lacey Prue (I) (Rep)</b><br>11,245 votes",1,1
10,Rep,,Butts County: County Commission - District 1,90.73333333333333,"<b>Mike Wilson (Rep)</b><br>2,722 votes",1,1
11,Dem,,Butts County: County Commission - District 1,9.266666666666666,<b>William “Bill” Thomas (Dem)</b><br>278 votes,1,1
12,Rep,,Butts County: County Commission - District 2,52.411994784876136,"<b>Jeremiah Hosford (Rep)</b><br>1,206 votes",1,1
13,Dem,,Butts County: County Commission - District 2,47.58800521512386,"<b>Robert L. Henderson, Sr. (I) (Dem)</b><br>1,095 votes",1,1
14,Rep,,Butts County: County Commission - District 5,100.0,"<b>Russ Crumbley (I) (Rep)</b><br>2,454 votes",1,1
