,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
2,Rep,73100,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
3,Dem,,Calhoun County: Sheriff,100.0,"<b>Josh Hilton (I) (Dem)</b><br>1,815 votes",5,5
4,Dem,,Calhoun County: Tax Commissioner,100.0,"<b>Denise Varnum (Dem)</b><br>1,787 votes",5,5
5,Dem,,Calhoun County: Coroner,100.0,"<b>Darien Deon Brown (I) (Dem)</b><br>1,686 votes",5,5
6,Dem,,Calhoun County: County Commission - District 2,100.0,<b>Brenda Milner Weathersby (I) (Dem)</b><br>349 votes,1,1
7,Dem,,Calhoun County: County Commission - District 4,100.0,"<b>Tommy Manry, Jr. (I) (Dem)</b><br>357 votes",1,1
8,Dem,,Calhoun County: County BOE - At Large,53.314696485623,"<b>Tonny Ingram (I) (Dem)</b><br>1,335 votes",5,5
9,Dem,,Calhoun County: County BOE - District 1,100.0,<b>Kim D. Douglas (Dem)</b><br>403 votes,1,1
10,Dem,,Calhoun County: County BOE - District 2,100.0,<b>Bobby E. Paul (I) (Dem)</b><br>376 votes,1,1
11,Dem,,Calhoun County: County BOE - District 3,100.0,<b>Shawanda L. Brown (Dem)</b><br>248 votes,1,1
12,Dem,,Calhoun County: County BOE - District 4,100.0,<b>Ronnie Williams (I) (Dem)</b><br>338 votes,1,1
13,Dem,,Calhoun County: County BOE - District 5,100.0,<b>Lester Hutchins (I) (Dem)</b><br>338 votes,1,1
14,Dem,,Calhoun County: County BOE - At Large,46.685303514377,"<b>Claud Bernard Buck (Dem)</b><br>1,169 votes",5,5
15,Ind,,Calhoun County: Clerk of Superior Court,100.0,"<b>Karen Taylor (Ind)</b><br>1,735 votes",5,5
