,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,68000,State House of Representatives - District 180,69.35028248587571,"<b>Steven Sainz (I) (Rep)</b><br>19,640 votes",13,13
2,Dem,68000,State House of Representatives - District 180,30.64971751412429,"<b>Defonsio Daniels (Dem)</b><br>8,680 votes",13,13
3,Rep,70700,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
4,Rep,,Camden County: Clerk of Superior Court,100.0,"<b>Joy Lynn Turner (I) (Rep)</b><br>22,367 votes",11,11
5,Rep,,Camden County: Sheriff,63.192544120563156,"<b>James Kevin Chaney (Rep)</b><br>15,934 votes",11,11
6,Rep,,Camden County: Tax Commissioner,100.0,"<b>Beth Soles (I) (Rep)</b><br>22,805 votes",11,11
7,Rep,,Camden County: Coroner,100.0,"<b>Wayne Peeples (I) (Rep)</b><br>22,419 votes",11,11
8,Rep,,Camden County: County Commission - District 1,63.865398167723754,"<b>Robbie Cheek (Rep)</b><br>3,625 votes",5,5
9,Dem,,Camden County: County Commission - District 1,36.13460183227625,"<b>Kevin M. Walker (Dem)</b><br>2,051 votes",5,5
10,Rep,,Camden County: County Commission - District 3,100.0,"<b>Cody Smith (Rep)</b><br>2,880 votes",3,3
11,Rep,,Camden County: County Commission - District 5,100.0,"<b>Ben L. Casey (I) (Rep)</b><br>3,984 votes",2,2
12,,,Camden County: Mayor - St. Marys,21.36049559208959,"<b>Jerre Brumbelow</b><br>1,793 votes",4,4
13,,,Camden County: Mayor - St. Marys,9.93566833452466,<b>Kenneth M. Jackson</b><br>834 votes,4,4
14,,,Camden County: Mayor - St. Marys,28.532284965451517,"<b>Lisa A. James</b><br>2,395 votes",4,4
15,,,Camden County: Mayor - St. Marys,40.17155110793424,"<b>Greg Lockhart</b><br>3,372 votes",4,4
16,,,Camden County: Councilmember - St. Marys Post 4,56.67592125189298,"<b>Jeremy Nascimento</b><br>4,491 votes",4,4
17,,,Camden County: Councilmember - St. Marys Post 4,43.32407874810701,"<b>David Reilly (I)</b><br>3,433 votes",4,4
18,,,Camden County: Councilmember - St. Marys Post 5,28.2826982492276,"<b>Christine Adamow</b><br>2,197 votes",4,4
19,,,Camden County: Councilmember - St. Marys Post 5,30.561277033985583,"<b>Nick Harris</b><br>2,374 votes",4,4
20,,,Camden County: Councilmember - St. Marys Post 5,41.15602471678682,"<b>Allen Franklin Rassi, Jr. (I)</b><br>3,197 votes",4,4
21,,,Camden County: Councilmember - St. Marys Post 6,48.15246985608713,"<b>Kenneth Jelley</b><br>3,714 votes",4,4
22,,,Camden County: Councilmember - St. Marys Post 6,51.84753014391288,"<b>Lynn Keene</b><br>3,999 votes",4,4
23,,,Camden County: Councilmember - Kingsland Post 1,30.723860589812336,"<b>Jannett D. Bradford</b><br>2,292 votes",3,3
24,,,Camden County: Councilmember - Kingsland Post 1,20.549597855227884,"<b>Kathy Markes</b><br>1,533 votes",3,3
25,,,Camden County: Councilmember - Kingsland Post 1,48.72654155495979,"<b>Paul Chamberlin</b><br>3,635 votes",3,3
26,,,Camden County: Councilmember - Kingsland Post 2,100.0,"<b>Farran Fullilove (I)</b><br>7,070 votes",3,3
27,,,Camden County: Soil and Water Satilla River District Supervisor,100.0,"<b>Al Daniels</b><br>21,615 votes",11,11
28,,,Camden County: (S) St. Marys Ad Valorem,84.39986163957109,"<b>Yes</b><br>7,320 votes",4,4
29,,,Camden County: (S) St. Marys Ad Valorem,15.600138360428916,"<b>No</b><br>1,353 votes",4,4
30,Ind,,Camden County: Sheriff,36.807455879436844,"<b>Jim Proctor (I) (Ind)</b><br>9,281 votes",11,11
