,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40400,State Senate - District 4,100.0,"<b>Billy Hickman (I) (Rep)</b><br>74,309 votes",45,45
1,Rep,65800,State House of Representatives - District 158,72.89470495577366,"<b>Butch Parrish (I) (Rep)</b><br>18,048 votes",19,19
2,Dem,65800,State House of Representatives - District 158,27.10529504422634,"<b>Madeline Ryan Smith  (Dem)</b><br>6,711 votes",19,19
3,Rep,72300,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
4,Rep,,Candler County: Clerk of Superior Court,100.0,"<b>Jenny Hendrix Grimes (I) (Rep)</b><br>4,055 votes",1,1
5,Rep,,Candler County: State Court Solicitor,100.0,"<b>Brent C. Carter (I) (Rep)</b><br>3,997 votes",1,1
6,Rep,,Candler County: Sheriff,100.0,"<b>John Miles (I) (Rep)</b><br>4,129 votes",1,1
7,Rep,,Candler County: Tax Commissioner,100.0,"<b>Jason Athen Grimes (I) (Rep)</b><br>4,038 votes",1,1
8,Rep,,Candler County: Surveyor,100.0,"<b>G. William Donaldson (I) (Rep)</b><br>4,017 votes",1,1
9,Rep,,Candler County: Coroner,76.65919282511211,"<b>Jamie Anderson (Rep)</b><br>3,419 votes",1,1
10,Dem,,Candler County: Coroner,23.340807174887892,"<b>Allen Tyler (Dem)</b><br>1,041 votes",1,1
11,Rep,,Candler County: County Commission Chairman,100.0,"<b>Brad Jones (Rep)</b><br>3,923 votes",1,1
12,Rep,,Candler County: County Commission - District 1,50.31055900621118,<b>Alvaro David Morales (Rep)</b><br>486 votes,1,1
13,Dem,,Candler County: County Commission - District 1,49.68944099378882,<b>Gregory Thomas (I) (Dem)</b><br>480 votes,1,1
14,Rep,,Candler County: County Commission - District 3,100.0,<b>Tre' Ross (Rep)</b><br>990 votes,1,1
