,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40600,State Senate - District 6,72.31136367857076,"<b>Matt Brass (I) (Rep)</b><br>77,875 votes",42,42
1,Dem,40600,State Senate - District 6,27.688636321429232,"<b>Jenny Enderlin (Dem)</b><br>29,819 votes",42,42
2,Rep,43000,State Senate - District 30,65.04763376074978,"<b>Timothy J. Bearden (I) (Rep)</b><br>63,158 votes",43,43
3,Dem,43000,State Senate - District 30,34.952366239250225,"<b>Wanda Cooper (Dem)</b><br>33,937 votes",43,43
4,Rep,51800,State House of Representatives - District 18,100.0,"<b>Tyler Paul Smith (I) (Rep)</b><br>30,101 votes",21,21
5,Rep,57000,State House of Representatives - District 70,63.382919713287464,"<b>Lynn Smith (I) (Rep)</b><br>17,597 votes",13,13
6,Dem,57000,State House of Representatives - District 70,36.617080286712536,"<b>Diane Boulai (Dem)</b><br>10,166 votes",13,13
7,Rep,57100,State House of Representatives - District 71,66.94831990567891,"<b>Justin 'Jutt' Howard (Rep)</b><br>20,442 votes",12,12
8,Dem,57100,State House of Representatives - District 71,33.051680094321085,"<b>Kwasi Hudson (Dem)</b><br>10,092 votes",12,12
9,Rep,57200,State House of Representatives - District 72,75.49130897481376,"<b>David Huddleston (I) (Rep)</b><br>21,281 votes",17,17
10,Dem,57200,State House of Representatives - District 72,24.508691025186234,"<b>Rodney Ross Moore (Dem)</b><br>6,909 votes",17,17
11,Rep,71200,District Attorney - Coweta Judicial Circuit,100.0,"<b>Herb Cranford (I) (Rep)</b><br>162,345 votes",85,85
12,Rep,,Carroll County: Clerk of Superior Court,100.0,"<b>Alan Joseph Lee (I) (Rep)</b><br>51,743 votes",28,28
13,Rep,,Carroll County: Sheriff,100.0,"<b>Terry E. Langley (I) (Rep)</b><br>52,905 votes",28,28
14,Rep,,Carroll County: Tax Commissioner,100.0,"<b>Vickie Bearden (I) (Rep)</b><br>52,761 votes",28,28
15,Rep,,Carroll County: County Surveyor,100.0,"<b>Michael Crawford (I) (Rep)</b><br>51,733 votes",28,28
16,Rep,,Carroll County: Coroner,100.0,"<b>Keith Hancock (I) (Rep)</b><br>52,051 votes",28,28
17,Rep,,Carroll County: County Commission Chairman,100.0,"<b>Michelle Morgan (I) (Rep)</b><br>51,451 votes",28,28
18,Rep,,Carroll County: County Commissioner - District 1,100.0,"<b>Montrell McClendon (I) (Rep)</b><br>5,333 votes",7,7
19,Rep,,Carroll County: County Commissioner - District 3,100.0,"<b>Tommy Lee (I) (Rep)</b><br>8,907 votes",8,8
20,Rep,,Carroll County: County Commissioner - District 5,100.0,"<b>Ben Hicks (Rep)</b><br>10,286 votes",7,7
21,,,Carroll County: City of Bowdon Referendum,64.89479512735326,<b>Yes</b><br>586 votes,1,1
22,,,Carroll County: City of Bowdon Referendum,35.10520487264673,<b>No</b><br>317 votes,1,1
23,,,Carroll County: City of Bremen Referendum,62.903225806451616,<b>Yes</b><br>39 votes,1,1
24,,,Carroll County: City of Bremen Referendum,37.096774193548384,<b>No</b><br>23 votes,1,1
