,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45300,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
1,Dem,45300,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
2,Rep,50200,State House of Representatives - District 2,100.0,"<b>Steve Tarvin (I) (Rep)</b><br>27,194 votes",14,14
3,Rep,50300,State House of Representatives - District 3,100.0,"<b>Mitchell Horner (I) (Rep)</b><br>25,884 votes",9,9
4,Rep,72100,District Attorney - Judicial Circuit Lookout Mountain,100.0,"<b>Clayton Fuller (I) (Rep)</b><br>74,668 votes",36,36
5,Rep,,Catoosa County: Probate Judge,100.0,"<b>Jeffrey D. Hullender (I) (Rep)</b><br>30,633 votes",11,11
6,Rep,,Catoosa County: Clerk of Superior Court,100.0,"<b>Tracy Hullender Brown (I) (Rep)</b><br>30,644 votes",11,11
7,Rep,,Catoosa County: Sheriff,100.0,"<b>Gary R. Sisk (I) (Rep)</b><br>30,931 votes",11,11
8,Rep,,Catoosa County: Tax Commissioner,100.0,"<b>Gary Wayne Autry (I) (Rep)</b><br>30,585 votes",11,11
9,Rep,,Catoosa County: Coroner,100.0,"<b>James T. ""Jimmy "" Spurling (I) (Rep)</b><br>30,546 votes",11,11
10,Rep,,Catoosa County: Chief Magistrate Judge,100.0,"<b>John David ""Johnny"" Gass (I) (Rep)</b><br>30,501 votes",11,11
11,Rep,,Catoosa County: County Commission Chair,76.44942617589344,"<b>Steven M. Henry (Rep)</b><br>25,713 votes",11,11
12,Dem,,Catoosa County: County Commission Chair,23.550573824106557,"<b>Greg Bentley (Dem)</b><br>7,921 votes",11,11
13,Rep,,Catoosa County: County Commission - District 1,100.0,"<b>Jeff Long (I) (Rep)</b><br>6,869 votes",5,5
14,Rep,,Catoosa County: County Commission - District 3,76.85426339032952,"<b>Richard Tharpe (Rep)</b><br>6,787 votes",2,2
15,Dem,,Catoosa County: County Commission - District 3,23.14573660967048,"<b>Alex Brady (Dem)</b><br>2,044 votes",2,2
16,,,Catoosa County: Catoosa County Soil and Water Conservation District Supervisor,100.0,"<b>Roger Bowman, Jr. (I)</b><br>29,856 votes",11,11
