,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
2,Rep,,Charlton County: Clerk of Superior Court,100.0,"<b>Wendy Whitaker-Lee (I) (Rep)</b><br>3,994 votes",6,6
3,Rep,,Charlton County: Sheriff,100.0,"<b>Robert W. Phillips (I) (Rep)</b><br>4,009 votes",6,6
4,Rep,,Charlton County: Tax Commissioner,100.0,"<b>Debra T. Mizell (I) (Rep)</b><br>4,071 votes",6,6
5,Rep,,Charlton County: Coroner,100.0,"<b>Blaine Murray (I) (Rep)</b><br>4,042 votes",6,6
6,Dem,,Charlton County: County Commission - District 2,100.0,<b>James Evins Everett (I) (Dem)</b><br>560 votes,1,1
7,Rep,,Charlton County: County Commission - District 3,100.0,<b>Jesse Crews (I) (Rep)</b><br>659 votes,2,2
8,Dem,,Charlton County: County BOE - District 2,100.0,<b>Curtis Nixon (I) (Dem)</b><br>566 votes,1,1
9,Rep,,Charlton County: County BOE - District 4,100.0,<b>Wesley Green (Rep)</b><br>924 votes,3,3
