,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40100,State Senate - District 1,100.0,"<b>Ben Watson (I) (Rep)</b><br>76,992 votes",49,49
1,Dem,40200,State Senate - District 2,100.0,"<b>Derek Mallow (I) (Dem)</b><br>65,049 votes",60,60
2,Rep,40400,State Senate - District 4,100.0,"<b>Billy Hickman (I) (Rep)</b><br>74,309 votes",45,45
3,Rep,66100,State House of Representatives - District 161,100.0,"<b>Bill Hitchens (I) (Rep)</b><br>23,751 votes",19,19
4,Rep,66200,State House of Representatives - District 162,33.799909162228005,"<b>Keith Padgett (Rep)</b><br>8,186 votes",17,17
5,Dem,66200,State House of Representatives - District 162,66.200090837772,"<b>Carl W. Gilliard (I) (Dem)</b><br>16,033 votes",17,17
6,Dem,66300,State House of Representatives - District 163,100.0,"<b>Anne Allen Westbrook (I) (Dem)</b><br>20,697 votes",25,25
7,Rep,66400,State House of Representatives - District 164,100.0,"<b>Ron Stephens (I) (Rep)</b><br>24,073 votes",16,16
8,Dem,66500,State House of Representatives - District 165,100.0,"<b>Edna Jackson (I) (Dem)</b><br>21,840 votes",23,23
9,Rep,66600,State House of Representatives - District 166,71.66166494338385,"<b>Jesse L. Petrea (I) (Rep)</b><br>28,416 votes",23,23
10,Dem,66600,State House of Representatives - District 166,28.338335056616142,"<b>Gay Fortson (Dem)</b><br>11,237 votes",23,23
11,Rep,71600,District Attorney - Eastern Judicial Circuit,46.55240751614797,"<b>André Pretorius (Rep)</b><br>63,423 votes",87,87
12,Dem,71600,District Attorney - Eastern Judicial Circuit,53.44759248385203,"<b>Shalena Cook Jones (I) (Dem)</b><br>72,817 votes",87,87
13,Dem,,Chatham County: Clerk of Superior Court,100.0,"<b>Tammie Mosley (I) (Dem)</b><br>109,823 votes",87,87
14,Rep,,Chatham County: Sheriff,45.91015076250199,"<b>John T. Wilcher (I) (Rep)</b><br>63,401 votes",87,87
15,Dem,,Chatham County: Sheriff,54.08984923749801,"<b>Richard Coleman (Dem)</b><br>74,697 votes",87,87
16,Dem,,Chatham County: Tax Commissioner,100.0,"<b>Sonya L. Jackson (I) (Dem)</b><br>111,397 votes",87,87
17,Rep,,Chatham County: Coroner,40.945620242778546,"<b>Tiffany S. Williams (Rep)</b><br>55,892 votes",87,87
18,Dem,,Chatham County: Coroner,59.054379757221454,"<b>David L. Campbell (I) (Dem)</b><br>80,611 votes",87,87
19,Rep,,Chatham County: County Commission Chair,42.24856915216327,"<b>Joel S. Boblasky (Rep)</b><br>57,799 votes",87,87
20,Dem,,Chatham County: County Commission Chair,57.75143084783674,"<b>Chester A. Ellis (I) (Dem)</b><br>79,008 votes",87,87
21,Rep,,Chatham County: County Commission - District 1,100.0,"<b>Wayne Noha (Rep)</b><br>15,587 votes",16,16
22,Dem,,Chatham County: County Commission - District 2,100.0,"<b>Malinda Jane Scott Hodge (I) (Dem)</b><br>13,760 votes",15,15
23,Dem,,Chatham County: County Commission - District 3,100.0,"<b>Bobby Lockett (I) (Dem)</b><br>12,069 votes",16,16
24,Rep,,Chatham County: County Commission - District 4,100.0,"<b>Pat Farrell (I) (Rep)</b><br>19,987 votes",14,14
25,Dem,,Chatham County: County Commission - District 5,100.0,"<b>Tanya Milton (I) (Dem)</b><br>11,343 votes",10,10
26,Rep,,Chatham County: County Commission - District 6,39.313602015113354,"<b>Leonard C. Massey (Rep)</b><br>6,243 votes",11,11
27,Dem,,Chatham County: County Commission - District 6,60.68639798488665,"<b>Aaron ""Adot"" Whitely (I) (Dem)</b><br>9,637 votes",11,11
28,Rep,,Chatham County: County Commission - District 7,55.64884371777876,"<b>Dean Kicklighter (I) (Rep)</b><br>11,334 votes",10,10
29,Dem,,Chatham County: County Commission - District 7,44.35115628222124,"<b>Orlando Scott (Dem)</b><br>9,033 votes",10,10
30,Dem,,Chatham County: County Commission - District 8,100.0,"<b>Marsha Buford (Dem)</b><br>13,268 votes",15,15
31,,,Chatham County: Soil and Water Coastal District Supervisor,100.0,"<b>Horace B. Waller, Jr. (I)</b><br>107,838 votes",87,87
