,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45300,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
1,Dem,45300,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
2,Rep,51200,State House of Representatives - District 12,81.68506593069611,"<b>Eddie Lumsden (I) (Rep)</b><br>21,310 votes",18,18
3,Dem,51200,State House of Representatives - District 12,18.314934069303895,"<b>Logan Johnson (Dem)</b><br>4,778 votes",18,18
4,Rep,72100,District Attorney - Judicial Circuit Lookout Mountain,100.0,"<b>Clayton Fuller (I) (Rep)</b><br>74,668 votes",36,36
5,Rep,,Chattooga County: Probate Judge,100.0,"<b>Gary Woods (I) (Rep)</b><br>9,842 votes",7,7
6,Rep,,Chattooga County: Clerk of Superior Court,100.0,"<b>Kim Windle James (I) (Rep)</b><br>9,795 votes",7,7
7,Rep,,Chattooga County: Sheriff,100.0,"<b>Mark A. Schrader (I) (Rep)</b><br>9,876 votes",7,7
8,Rep,,Chattooga County: Tax Commissioner,100.0,"<b>Joy Cooper Hampton (I) (Rep)</b><br>9,867 votes",7,7
9,Rep,,Chattooga County: Coroner,100.0,"<b>Jeremy ""Big Mac"" McElhaney (Rep)</b><br>9,564 votes",7,7
10,Rep,,Chattooga County: Chief Magistrate,100.0,"<b>T.L. ""Tracy"" Maddux (I) (Rep)</b><br>9,727 votes",7,7
11,Rep,,Chattooga County: Solicitor-General,100.0,"<b>Sanford ""Buddy"" Hill (I) (Rep)</b><br>9,564 votes",7,7
12,Rep,,Chattooga County: County Commissioner - At Large,100.0,"<b>Andy Allen (Rep)</b><br>9,464 votes",7,7
13,Rep,,Chattooga County: County BOE - District 1,100.0,"<b>Derrick R. A. Eckroat (Rep)</b><br>8,680 votes",7,7
14,Rep,,Chattooga County: County BOE - District 5,100.0,"<b>Chad Dodd (Rep)</b><br>8,813 votes",7,7
15,,,Chattooga County: Coosa River Soil and Water Conservation District Supervisor,100.0,"<b>Robert Gregory Hurley (I)</b><br>9,382 votes",7,7
