,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42100,State Senate - District 21,70.345333678667,"<b>Brandon Beach (I) (Rep)</b><br>81,481 votes",50,50
1,Dem,42100,State Senate - District 21,29.65466632133299,"<b>Lillia Michelle Lionel (Dem)</b><br>34,349 votes",50,50
2,Rep,43200,State Senate - District 32,100.0,"<b>Kay Kirkpatrick (I) (Rep)</b><br>82,399 votes",40,40
3,Rep,45600,State Senate - District 56,61.230842101701796,"<b>John Albers (I) (Rep)</b><br>72,392 votes",44,44
4,Dem,45600,State Senate - District 56,38.769157898298204,"<b>JD Jordan (Dem)</b><br>45,836 votes",44,44
5,Rep,51100,State House of Representatives - District 11,82.78017241379311,"<b>Rick Jasperse (I) (Rep)</b><br>30,728 votes",17,17
6,Dem,51100,State House of Representatives - District 11,17.219827586206897,"<b>Kayla L. Hollifield (Dem)</b><br>6,392 votes",17,17
7,Rep,51400,State House of Representatives - District 14,100.0,"<b>Mitchell L. Scoggins (I) (Rep)</b><br>30,460 votes",13,13
8,Rep,52000,State House of Representatives - District 20,100.0,"<b>Charlice Byrd (I) (Rep)</b><br>28,540 votes",10,10
9,Rep,52100,State House of Representatives - District 21,74.98253331608228,"<b>Brad Thomas (I) (Rep)</b><br>28,977 votes",11,11
10,Dem,52100,State House of Representatives - District 21,25.01746668391771,"<b>Mitchell Simmons (Dem)</b><br>9,668 votes",11,11
11,Rep,52200,State House of Representatives - District 22,60.54799650480589,"<b>Jordan Ridley (I) (Rep)</b><br>19,402 votes",15,15
12,Dem,52200,State House of Representatives - District 22,39.45200349519411,"<b>James ""JL"" Shade (Dem)</b><br>12,642 votes",15,15
13,Rep,52300,State House of Representatives - District 23,100.0,"<b>Mandi Ballinger (I) (Rep)</b><br>29,402 votes",8,8
14,Rep,54400,State House of Representatives - District 44,56.87394560037884,"<b>Don L. Parsons (I) (Rep)</b><br>19,216 votes",13,13
15,Dem,54400,State House of Representatives - District 44,43.126054399621154,"<b>Danielle Bell (Dem)</b><br>14,571 votes",13,13
16,Rep,54600,State House of Representatives - District 46,58.88449218013944,"<b>John Carson (I) (Rep)</b><br>21,875 votes",14,14
17,Dem,54600,State House of Representatives - District 46,41.11550781986056,"<b>Micheal Garza (Dem)</b><br>15,274 votes",14,14
18,Rep,54700,State House of Representatives - District 47,61.58040723696653,"<b>Jan Jones (I) (Rep)</b><br>19,537 votes",20,20
19,Dem,54700,State House of Representatives - District 47,38.41959276303347,"<b>Debra Shigley (Dem)</b><br>12,189 votes",20,20
20,Rep,70600,District Attorney - Blue Ridge Judicial Circuit,100.0,"<b>Susan K. Treadaway (I) (Rep)</b><br>135,755 votes",43,43
21,Rep,,Cherokee County: Clerk of Superior Court,100.0,"<b>Patty Baker (I) (Rep)</b><br>136,810 votes",43,43
22,Rep,,Cherokee County: Sheriff,100.0,"<b>Frank Reynolds (I) (Rep)</b><br>137,681 votes",43,43
23,Rep,,Cherokee County: Tax Commissioner,100.0,"<b>Denise Mastroserio (I) (Rep)</b><br>136,332 votes",43,43
24,Rep,,Cherokee County: Surveyor,100.0,"<b>Ron R. Wikle Jr. (I) (Rep)</b><br>136,047 votes",43,43
25,Rep,,Cherokee County: Coroner,100.0,"<b>Sally Sims (I) (Rep)</b><br>136,661 votes",43,43
26,Rep,,Cherokee County: Magistrate Judge,100.0,"<b>Jack ""Trey"" Goodwin, III (Rep)</b><br>135,861 votes",43,43
27,Rep,,Cherokee County: County Commission - District 2,100.0,"<b>Richard Weatherby (I) (Rep)</b><br>35,891 votes",10,10
28,Rep,,Cherokee County: County Commission - District 3,100.0,"<b>Benny Carter (I) (Rep)</b><br>32,483 votes",11,11
29,Rep,,Cherokee County: County BOE Chairman,100.0,"<b>Janet S. Read (Rep)</b><br>135,881 votes",43,43
30,Rep,,Cherokee County: County BOE - District 1,100.0,"<b>Kelly Kind Poole (I) (Rep)</b><br>21,687 votes",8,8
31,Rep,,Cherokee County: County BOE - District 2,100.0,"<b>Patsy Jordan (I) (Rep)</b><br>28,677 votes",9,9
32,,,Cherokee County: Limestone Valley Soil and Water Supervisor,100.0,"<b>William Grizzle (I)</b><br>129,295 votes",43,43
33,,,Cherokee County: Mayor - Holly Springs,38.147583804963,"<b>Mark Aurand</b><br>3,505 votes",9,9
34,,,Cherokee County: Mayor - Holly Springs,61.85241619503701,"<b>Ryan Shirley</b><br>5,683 votes",9,9
35,,,Cherokee County: City Council Ward 3 - Holly Springs,100.0,"<b>Michael Zenchuk (I)</b><br>8,400 votes",9,9
36,,,Cherokee County: City Council Ward 5 - Holly Springs,100.0,"<b>Jeffrey D. Wilbur (I)</b><br>8,454 votes",9,9
