,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44600,State Senate - District 46,63.66914981671987,"<b>Bill Cowsert (I) (Rep)</b><br>64,614 votes",42,42
1,Dem,44600,State Senate - District 46,36.33085018328012,"<b>Gareth Fenley (Dem)</b><br>36,870 votes",42,42
2,Rep,44700,State Senate - District 47,62.60958164778516,"<b>Frank Ginn (I) (Rep)</b><br>62,063 votes",41,41
3,Dem,44700,State Senate - District 47,37.39041835221484,"<b>Conolus Scott (Dem)</b><br>37,064 votes",41,41
4,Rep,62000,State House of Representatives - District 120,61.29155521589607,"<b>Houston Gaines (I) (Rep)</b><br>19,248 votes",15,15
5,Dem,62000,State House of Representatives - District 120,38.70844478410393,"<b>Andrew Ferguson (Dem)</b><br>12,156 votes",15,15
6,Rep,62100,State House of Representatives - District 121,61.130184652500695,"<b>Marcus A. Wiedower (I) (Rep)</b><br>19,764 votes",16,16
7,Dem,62100,State House of Representatives - District 121,38.869815347499305,"<b>Eric Martin Gisler (Dem)</b><br>12,567 votes",16,16
8,Dem,62200,State House of Representatives - District 122,100.0,"<b>Spencer Frye (I) (Dem)</b><br>17,410 votes",15,15
9,Rep,62400,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
10,Dem,62400,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
11,Dem,73900,District Attorney - Western Judicial Circuit,40.58729677342792,"<b>Deborah Gonzalez (I) (Dem)</b><br>30,781 votes",32,32
12,Ind,73900,District Attorney - Western Judicial Circuit,59.412703226572084,"<b>Kalki Yalamanchili (Ind)</b><br>45,058 votes",32,32
13,Dem,,Clarke County: Clerk of Superior Court,100.0,"<b>Elisa Zarate (I) (Dem)</b><br>43,982 votes",24,24
14,Dem,,Clarke County: Sheriff,100.0,"<b>John Q. Williams (I) (Dem)</b><br>44,319 votes",24,24
15,Dem,,Clarke County: Tax Commissioner,100.0,"<b>JP Lemay (Dem)</b><br>44,091 votes",24,24
16,Dem,,Clarke County: Coroner,100.0,"<b>Michael Eberhart (Dem)</b><br>44,550 votes",24,24
