,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41700,State Senate - District 17,100.0,"<b>Gail Davenport (I) (Dem)</b><br>80,988 votes",34,34
1,Rep,43400,State Senate - District 34,18.052355719387165,"<b>Andrew E. Honeycutt (Rep)</b><br>12,537 votes",47,47
2,Dem,43400,State Senate - District 34,81.94764428061283,"<b>Kenya Wicks (Dem)</b><br>56,911 votes",47,47
3,Dem,44400,State Senate - District 44,100.0,"<b>Elena Parent (I) (Dem)</b><br>89,952 votes",51,51
4,Dem,57400,State House of Representatives - District 74,100.0,"<b>Robert Flournoy, Jr. (Dem)</b><br>25,139 votes",14,14
5,Dem,57500,State House of Representatives - District 75,100.0,"<b>Eric W. Bell, II (I) (Dem)</b><br>20,971 votes",14,14
6,Dem,57600,State House of Representatives - District 76,100.0,"<b>Sandra Givens Scott (I) (Dem)</b><br>20,380 votes",14,14
7,Dem,57700,State House of Representatives - District 77,100.0,"<b>Rhonda Burnough (I) (Dem)</b><br>18,552 votes",15,15
8,Dem,57800,State House of Representatives - District 78,100.0,"<b>Demetrius Douglas (I) (Dem)</b><br>24,908 votes",14,14
9,Dem,57900,State House of Representatives - District 79,100.0,"<b>Yasmin Neal (I) (Dem)</b><br>16,118 votes",12,12
10,Dem,70900,District Attorney - Clayton Judicial Circuit,100.0,"<b>Tasha M. Mosley (I) (Dem)</b><br>101,611 votes",70,70
11,Dem,,Clayton County: Probate Court Judge,100.0,"<b>Pamela P. Ferguson (I) (Dem)</b><br>101,679 votes",70,70
12,Dem,,Clayton County: Clerk of Superior Court,100.0,"<b>Chanae Q. Clemons (I) (Dem)</b><br>101,096 votes",70,70
13,Dem,,Clayton County: Sheriff,100.0,"<b>Levon Allen (I) (Dem)</b><br>100,213 votes",70,70
14,Dem,,Clayton County: Tax Commissioner,100.0,"<b>Danielle H. Smith (I) (Dem)</b><br>101,524 votes",70,70
15,Dem,,Clayton County: Chief Magistrate Court Judge,100.0,"<b>Keisha Wright Hill (I) (Dem)</b><br>101,586 votes",70,70
16,Dem,,Clayton County: Solicitor General,100.0,"<b>Charles Brooks (I) (Dem)</b><br>100,958 votes",70,70
17,Dem,,Clayton County: County Commission Chair,100.0,"<b>Alieka Anderson (Dem)</b><br>100,920 votes",70,70
18,Dem,,Clayton County: County Commission - District 2,100.0,"<b>Gail Hambrick (I) (Dem)</b><br>22,199 votes",19,19
19,Rep,,Clayton County: County Commission - District 3,13.927181683810444,"<b>David Hamrick (Rep)</b><br>4,617 votes",20,20
20,Dem,,Clayton County: County Commission - District 3,86.07281831618955,"<b>Tashe’ Allen (Dem)</b><br>28,534 votes",20,20
21,Dem,,Clayton County: County BOE - District 2,100.0,"<b>Mark Christmas (I) (Dem)</b><br>11,554 votes",9,9
22,Dem,,Clayton County: County BOE - District 3,100.0,"<b>Jessie Goree (I) (Dem)</b><br>12,156 votes",10,10
23,Dem,,Clayton County: County BOE - District 5,100.0,"<b>Deatrice Dee Haney (I) (Dem)</b><br>10,179 votes",11,11
24,Dem,,Clayton County: County BOE - District 6,100.0,"<b>Mary Baker (I) (Dem)</b><br>14,475 votes",10,10
25,Dem,,Clayton County: County BOE - District 7,100.0,"<b>Sabrina Hill (I) (Dem)</b><br>7,157 votes",8,8
26,,,Clayton County: Clayton County Soil and Water Conservation District Supervisor,100.0,"<b>Deetra Poindexter (I)</b><br>97,002 votes",70,70
