,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
2,Rep,70000,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
3,Rep,,Clinch County: Judge of Probate Court,70.49295774647887,"<b>Kimberly N. Smith (I) (Rep)</b><br>2,002 votes",5,5
4,Dem,,Clinch County: Judge of Probate Court,29.507042253521128,<b>Elexis Williams (Dem)</b><br>838 votes,5,5
5,Rep,,Clinch County: Clerk of Superior Court,100.0,"<b>Mary Ruth Handley (I) (Rep)</b><br>2,588 votes",5,5
6,Rep,,Clinch County: Sheriff,100.0,"<b>Raymond Peterson (Rep)</b><br>2,517 votes",5,5
7,Rep,,Clinch County: Tax Commissioner,100.0,"<b>Jamie Stalvey Douglas (I) (Rep)</b><br>2,553 votes",5,5
8,Rep,,Clinch County: Coroner,100.0,"<b>Chris Smith (I) (Rep)</b><br>2,454 votes",5,5
9,Rep,,Clinch County: Surveyor,100.0,"<b>Kerry Tomlinson (I) (Rep)</b><br>2,488 votes",5,5
10,Rep,,Clinch County: County Commission Post 2,100.0,<b>Chad Brown (I) (Rep)</b><br>557 votes,3,3
11,Rep,,Clinch County: County Commission Post 3,100.0,<b>Tanya O'Berry (Rep)</b><br>454 votes,2,2
12,Rep,,Clinch County: County Commission Post 5,100.0,<b>Henry Moylan (I) (Rep)</b><br>528 votes,3,3
13,Rep,,Clinch County: County Board of Education District 2,100.0,<b>Eric Harris (I) (Rep)</b><br>560 votes,3,3
14,Rep,,Clinch County: County Board of Education District 3,100.0,<b>Laura James Landrum (I) (Rep)</b><br>451 votes,2,2
15,Rep,,Clinch County: County Board of Education District 5,100.0,<b>Gayle Infinger (I) (Rep)</b><br>548 votes,3,3
16,,,Clinch County: Homerville City Council Post 1 (Special),50.36284470246735,<b>Arthur Perry Smith</b><br>347 votes,1,1
17,,,Clinch County: Homerville City Council Post 1 (Special),49.63715529753265,<b>Sheka Cleary Robinson</b><br>342 votes,1,1
