,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,41900,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
2,Rep,66900,State House of Representatives - District 169,74.74853037230568,"<b>Angie O'Steen (Rep)</b><br>17,166 votes",13,13
3,Dem,66900,State House of Representatives - District 169,25.251469627694316,"<b>Theresa R. Rewis (Dem)</b><br>5,799 votes",13,13
4,Rep,67600,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
5,Rep,,Coffee County: Clerk of Superior Court,100.0,"<b>Elisa Gillis (I) (Rep)</b><br>13,033 votes",6,6
6,Rep,,Coffee County: Sheriff,73.49186807490442,"<b>Fred T. Cole (Rep)</b><br>11,342 votes",6,6
7,Dem,,Coffee County: Sheriff,26.508131925095572,"<b>Ben Munford (Dem)</b><br>4,091 votes",6,6
8,Rep,,Coffee County: Tax Commissioner,73.63083164300203,"<b>Angela T. Harper (Rep)</b><br>11,253 votes",6,6
9,Dem,,Coffee County: Tax Commissioner,26.369168356997974,"<b>Carlos Wilkerson (Dem)</b><br>4,030 votes",6,6
10,Rep,,Coffee County: Surveyor,100.0,"<b>Adam H. Evans (I) (Rep)</b><br>12,909 votes",6,6
11,Rep,,Coffee County: Coroner,100.0,"<b>Brandon K. Musgrove (I) (Rep)</b><br>12,960 votes",6,6
12,Rep,,Coffee County: Solicitor,100.0,"<b>Jared Roberts (I) (Rep)</b><br>12,942 votes",6,6
13,Rep,,Coffee County: County Commission - District 2,83.84661835748793,"<b>Jimmy Kitchens (I) (Rep)</b><br>2,777 votes",4,4
14,Dem,,Coffee County: County Commission - District 2,16.153381642512077,<b>Jacky Jones (Dem)</b><br>535 votes,4,4
15,Rep,,Coffee County: County Commission - District 4,100.0,"<b>Johnny Wayne Jowers (I) (Rep)</b><br>2,822 votes",2,2
16,Rep,,Coffee County: County Commission - District 5,100.0,"<b>Ted O'Steen (I) (Rep)</b><br>3,195 votes",5,5
17,,,Coffee County: Douglas City Commission Ward 2,27.474402730375424,<b>Mickeayla Clark</b><br>161 votes,1,1
18,,,Coffee County: Douglas City Commission Ward 2,6.655290102389079,<b>Aveary Daniels</b><br>39 votes,1,1
19,,,Coffee County: Douglas City Commission Ward 2,32.593856655290104,<b>Brenda Henderson Moore</b><br>191 votes,1,1
20,,,Coffee County: Douglas City Commission Ward 2,33.27645051194539,<b>Tonji M. Simpson</b><br>195 votes,1,1
