,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67200,State House of Representatives - District 172,100.0,"<b>Charles 'Chas' Cannon (I) (Rep)</b><br>19,258 votes",27,27
2,Rep,73200,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
3,Rep,,Colquitt County: Solicitor General - State Court,100.0,"<b>Mickey E. Waller (Rep)</b><br>14,099 votes",19,19
4,Rep,,Colquitt County: Clerk of Superior Court,100.0,"<b>Donna Wilson (Rep)</b><br>14,335 votes",19,19
5,Rep,,Colquitt County: Sheriff,80.27424214474574,"<b>Rod Howell (I) (Rep)</b><br>13,055 votes",19,19
6,Dem,,Colquitt County: Sheriff,19.72575785525426,"<b>Ernest Jones (Dem)</b><br>3,208 votes",19,19
7,Rep,,Colquitt County: Tax Commissioner,100.0,"<b>Cindy S. Harvin (I) (Rep)</b><br>14,611 votes",19,19
8,Rep,,Colquitt County: Coroner,100.0,"<b>C. Verlyn “Lucky” Brock (I) (Rep)</b><br>14,316 votes",19,19
9,Rep,,Colquitt County: County Commission - District 2,100.0,"<b>Chris Hunnicutt (I) (Rep)</b><br>2,566 votes",4,4
10,Rep,,Colquitt County: County Commission - District 4,100.0,"<b>Mike Boyd (I) (Rep)</b><br>2,030 votes",2,2
11,Rep,,Colquitt County: County Commission - District 6,100.0,"<b>Johnny Hardin (I) (Rep)</b><br>2,270 votes",4,4
