,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
3,Rep,62300,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
4,Dem,62300,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
5,Rep,62500,State House of Representatives - District 125,64.50293324877121,"<b>Gary Richardson (I) (Rep)</b><br>20,341 votes",18,18
6,Dem,62500,State House of Representatives - District 125,35.49706675122879,"<b>Kay Turner (Dem)</b><br>11,194 votes",18,18
7,Rep,62700,State House of Representatives - District 127,100.0,"<b>Mark Newton (I) (Rep)</b><br>25,538 votes",22,22
8,Rep,63100,State House of Representatives - District 131,65.06079166285767,"<b>Rob Clifton (Rep)</b><br>21,351 votes",16,16
9,Dem,63100,State House of Representatives - District 131,34.93920833714233,"<b>Heather Rose White (Dem)</b><br>11,466 votes",16,16
10,Rep,,Columbia County: Judge of the Probate Court,100.0,"<b>Alice Wheatley Padgett (I) (Rep)</b><br>71,441 votes",46,46
11,Rep,,Columbia County: Clerk of Superior Court,100.0,"<b>Cindy Mason (I) (Rep)</b><br>71,716 votes",46,46
12,Rep,,Columbia County: Sheriff,100.0,"<b>Clay Whittle (I) (Rep)</b><br>72,230 votes",46,46
13,Rep,,Columbia County: Tax Commissioner,100.0,"<b>Wayne Bridges (I) (Rep)</b><br>71,984 votes",46,46
14,Rep,,Columbia County: Coroner,65.40930787589498,"<b>Terry Norman (Rep)</b><br>54,813 votes",46,46
15,Dem,,Columbia County: Coroner,34.59069212410501,"<b>Helen L. Bratton (Dem)</b><br>28,987 votes",46,46
16,Rep,,Columbia County: Chief Magistrate,100.0,"<b>Jason Troiano (I) (Rep)</b><br>71,254 votes",46,46
17,Rep,,Columbia County: County Commission - District 2,100.0,"<b>Trey Allen (Rep)</b><br>17,223 votes",12,12
18,Rep,,Columbia County: County Commission - District 3,100.0,"<b>Michael W. Carraway (I) (Rep)</b><br>18,915 votes",12,12
19,,,Columbia County: ESPLOST,67.6809771869948,"<b>Yes</b><br>56,517 votes",46,46
20,,,Columbia County: ESPLOST,32.31902281300521,"<b>No</b><br>26,988 votes",46,46
