,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67000,State House of Representatives - District 170,100.0,"<b>Jaclyn Dixon Ford (Rep)</b><br>20,743 votes",18,18
2,Rep,67200,State House of Representatives - District 172,100.0,"<b>Charles 'Chas' Cannon (I) (Rep)</b><br>19,258 votes",27,27
3,Rep,70000,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
4,Rep,,Cook County: Clerk of Superior Court,100.0,"<b>April M. Garrett (I) (Rep)</b><br>6,562 votes",8,8
5,Rep,,Cook County: Sheriff,32.00604146642867,"<b>Clayton Godwin (Rep)</b><br>2,331 votes",8,8
6,Dem,,Cook County: Sheriff,11.506247425511464,"<b>George Barnum, Jr. (Dem)</b><br>838 votes",8,8
7,Ind,,Cook County: Sheriff,56.48771110805987,"<b>Doug Hanks (I) (Ind)</b><br>4,114 votes",8,8
8,Rep,,Cook County: Tax Commissioner,100.0,"<b>Tonya G. McConnell (I) (Rep)</b><br>6,638 votes",8,8
9,Rep,,Cook County: Coroner,100.0,"<b>Tim Purvis (I) (Rep)</b><br>6,568 votes",8,8
10,Rep,,Cook County: County Commissioner District 2,100.0,"<b>Lin Parrish (I) (Rep)</b><br>1,461 votes",1,1
11,Ind,,Cook County: County Commissioner District 3,100.0,"<b>Jeff Lane (I) (Ind)</b><br>1,141 votes",2,2
12,Rep,,Cook County: County Commissioner District 4,100.0,"<b>Audie C. Rowe (I) (Rep)</b><br>1,421 votes",3,3
13,Dem,,Cook County: County Board of Education District 1,100.0,<b>Sharon Locklear (I) (Dem)</b><br>874 votes,3,3
14,Rep,,Cook County: County Board of Education District 2,100.0,"<b>Jeff Taylor (I) (Rep)</b><br>1,434 votes",1,1
15,Rep,,Cook County: County Board of Education District 4,100.0,"<b>Brenda W. Moore (I) (Rep)</b><br>1,455 votes",3,3
16,,,Cook County: Alapaha Soil and Water Conservation District Supervisor,100.0,"<b>Derrell Bennett, Jr. (I)</b><br>6,359 votes",8,8
