,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40600,State Senate - District 6,72.31136367857076,"<b>Matt Brass (I) (Rep)</b><br>77,875 votes",42,42
1,Dem,40600,State Senate - District 6,27.688636321429232,"<b>Jenny Enderlin (Dem)</b><br>29,819 votes",42,42
2,Dem,56500,State House of Representatives - District 65,100.0,"<b>Robert Dawson (Dem)</b><br>29,876 votes",40,40
3,Rep,56700,State House of Representatives - District 67,33.50609756097561,"<b>Matthew Hammett (Rep)</b><br>9,891 votes",16,16
4,Dem,56700,State House of Representatives - District 67,66.49390243902438,"<b>Lydia Glaize (I) (Dem)</b><br>19,629 votes",16,16
5,Rep,57000,State House of Representatives - District 70,63.382919713287464,"<b>Lynn Smith (I) (Rep)</b><br>17,597 votes",13,13
6,Dem,57000,State House of Representatives - District 70,36.617080286712536,"<b>Diane Boulai (Dem)</b><br>10,166 votes",13,13
7,Rep,57300,State House of Representatives - District 73,66.87884518070685,"<b>Josh Bonner (I) (Rep)</b><br>25,111 votes",15,15
8,Dem,57300,State House of Representatives - District 73,33.12115481929315,"<b>Tom Thomason (Dem)</b><br>12,436 votes",15,15
9,Rep,63600,State House of Representatives - District 136,68.4503190519599,"<b>David Jenkins (I) (Rep)</b><br>22,527 votes",21,21
10,Dem,63600,State House of Representatives - District 136,31.54968094804011,"<b>Jeff Lowe (Dem)</b><br>10,383 votes",21,21
11,Rep,71200,District Attorney - Coweta Judicial Circuit,100.0,"<b>Herb Cranford (I) (Rep)</b><br>162,345 votes",85,85
12,Rep,,Coweta County: Clerk of Superior Court,100.0,"<b>Niki Sewell (I) (Rep)</b><br>71,864 votes",24,24
13,Rep,,Coweta County: Sheriff,100.0,"<b>Lenn Wood (I) (Rep)</b><br>72,927 votes",24,24
14,Rep,,Coweta County: Tax Commissioner,100.0,"<b>Justin McMichael (I) (Rep)</b><br>71,622 votes",24,24
15,Rep,,Coweta County: Surveyor,100.0,"<b>Chris Robertson (I) (Rep)</b><br>71,615 votes",24,24
16,Rep,,Coweta County: Coroner,100.0,"<b>Richard Hawk (I) (Rep)</b><br>72,122 votes",24,24
17,Rep,,Coweta County: Solicitor-General,100.0,"<b>Amy B. Godfrey (I) (Rep)</b><br>71,750 votes",24,24
18,Rep,,Coweta County: County Commission - District 1,100.0,"<b>Jeffrey Fisher (Rep)</b><br>18,129 votes",6,6
19,Rep,,Coweta County: County Commission - District 4,65.94847241222071,"<b>John J. Reidelbach (I) (Rep)</b><br>11,570 votes",4,4
20,Dem,,Coweta County: County Commission - District 4,34.0515275877793,"<b>Tess Higgins (Dem)</b><br>5,974 votes",4,4
21,Dem,,Coweta County: County Commission - District 5,100.0,"<b>Alphonso ""Al"" Smith (I) (Dem)</b><br>9,644 votes",4,4
22,Ind,,Coweta County: West Georgia Soil and Water Conservation District Supervisor,100.0,"<b>Peter Pick (Ind)</b><br>67,985 votes",24,24
23,,,Coweta County: City of Senoia - City Council Post 2,26.434730895034196,<b>Shelley Kiley</b><br>889 votes,1,1
24,,,Coweta County: City of Senoia - City Council Post 2,66.96402022004163,"<b>Andrew Lowe</b><br>2,252 votes",1,1
25,,,Coweta County: City of Senoia - City Council Post 2,6.601248884924176,<b>Aaron Schilke</b><br>222 votes,1,1
