,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41800,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
1,Rep,63400,State House of Representatives - District 134,100.0,"<b>Robert L. Dickey, III (I) (Rep)</b><br>25,043 votes",16,16
2,Dem,72200,District Attorney - Macon Judicial Circuit,100.0,"<b>Anita Reynolds Howard (I) (Dem)</b><br>67,738 votes",43,43
3,Rep,,Crawford County: Clerk of Superior Court,100.0,"<b>Ryan Johnson (I) (Rep)</b><br>5,502 votes",5,5
4,Rep,,Crawford County: Sheriff,28.869956598617584,"<b>Gene Parker (Rep)</b><br>1,796 votes",5,5
5,Ind,,Crawford County: Sheriff,71.13004340138241,"<b>Lewis S. Walker (I) (Ind)</b><br>4,425 votes",5,5
6,Rep,,Crawford County: Tax Commissioner,100.0,"<b>Patrice Walker (I) (Rep)</b><br>5,661 votes",5,5
7,Rep,,Crawford County: Coroner,100.0,"<b>Sheldon T. Mattox (I) (Rep)</b><br>5,483 votes",5,5
8,Rep,,Crawford County: County Commissioner - District 2,67.3438675696012,<b>Troy Cook (Rep)</b><br>895 votes,1,1
9,Dem,,Crawford County: County Commissioner - District 2,32.6561324303988,"<b>Gregory Webb, Sr. (Dem)</b><br>434 votes",1,1
10,Rep,,Crawford County: County Commissioner - District 3,100.0,"<b>Justin Spillers (I) (Rep)</b><br>1,033 votes",1,1
11,Rep,,Crawford County: County Commissioner - District 4,100.0,"<b>Melvin W. Smith, Jr. (Rep)</b><br>1,212 votes",1,1
