,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41300,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
1,Rep,64800,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
2,Rep,,Crisp County: Clerk of Superior Court,100.0,"<b>Tara Dorough Hayslip (I) (Rep)</b><br>6,843 votes",5,5
3,Rep,,Crisp County: Sheriff,100.0,"<b>Billy Hancock (I) (Rep)</b><br>7,263 votes",5,5
4,Rep,,Crisp County: Tax Commissioner,100.0,"<b>Deborah Lofton (I) (Rep)</b><br>7,366 votes",5,5
5,Rep,,Crisp County: Coroner,58.99133978604178,"<b>Richard Wright (Rep)</b><br>4,632 votes",5,5
6,Dem,,Crisp County: Coroner,41.00866021395822,"<b>Ricky Dawson, Jr. (I) (Dem)</b><br>3,220 votes",5,5
7,Rep,,Crisp County: Chief Magistrate,100.0,"<b>Brandon Rivers (Rep)</b><br>6,695 votes",5,5
8,Dem,,"Crisp County: County Commission - District 1, Post 1",100.0,"<b>Larry Felton (I) (Dem)</b><br>1,647 votes",1,1
9,Rep,,"Crisp County: County Commission - District 2, Post 2",100.0,"<b>Sam Farrow, Jr. (I) (Rep)</b><br>5,508 votes",5,5
10,Rep,,Crisp County: County BOE - District 1,100.0,"<b>Jay L. Brinson (I) (Rep)</b><br>2,181 votes",3,3
11,Rep,,Crisp County: County BOE - District 2,35.38961038961039,<b>Benjamin Bruce Drennan (Rep)</b><br>436 votes,1,1
12,Dem,,Crisp County: County BOE - District 2,64.6103896103896,<b>Michelle Harris Paul (Dem)</b><br>796 votes,1,1
13,Rep,,Crisp County: County BOE - District 5 (At Large),100.0,"<b>Joe Joe Wright (I) (Rep)</b><br>6,658 votes",5,5
14,,,Crisp County: Arabi City Council Post 4 (Special),23.52941176470588,<b>Awais Cheema</b><br>40 votes,1,1
15,,,Crisp County: Arabi City Council Post 4 (Special),54.11764705882353,<b>Kevin S. Odom</b><br>92 votes,1,1
16,,,Crisp County: Arabi City Council Post 4 (Special),22.35294117647059,<b>Bill Scharfenberg</b><br>38 votes,1,1
17,,,Crisp County: Soil and Water Conservation District - Middle South Georgia District,100.0,"<b>Randy Ellis (I)</b><br>6,656 votes",5,5
