,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,50700,State House of Representatives - District 7,100.0,"<b>Johnny Chastain (I) (Rep)</b><br>32,125 votes",26,26
2,Rep,50900,State House of Representatives - District 9,100.0,"<b>William S. Wade (I) (Rep)</b><br>32,101 votes",7,7
3,Rep,,Dawson County: Judge of Probate Court,100.0,"<b>Jennifer Burt (I) (Rep)</b><br>17,466 votes",4,4
4,Rep,,Dawson County: Clerk of Superior Court,100.0,"<b>Justin Power (I) (Rep)</b><br>17,563 votes",4,4
5,Rep,,Dawson County: Sheriff,100.0,"<b>Jeff Johnson (I) (Rep)</b><br>17,372 votes",4,4
6,Rep,,Dawson County: Tax Commissioner,100.0,"<b>Nicole Stewart (I) (Rep)</b><br>17,566 votes",4,4
7,Rep,,Dawson County: Surveyor,100.0,"<b>Donald Rex Jones (I) (Rep)</b><br>17,376 votes",4,4
8,Ind,,Dawson County: Coroner,100.0,"<b>Ted J. Bearden (I) (Ind)</b><br>17,507 votes",4,4
9,Rep,,Dawson County: Chief Magistrate Judge,100.0,"<b>Alex G. Myers (I) (Rep)</b><br>17,338 votes",4,4
10,Rep,,Dawson County: County Commission Chair,84.40996411230736,"<b>Billy J. Thurmond (I) (Rep)</b><br>15,994 votes",4,4
11,Dem,,Dawson County: County Commission Chair,15.590035887692633,"<b>Mya Thomae (Dem)</b><br>2,954 votes",4,4
12,Rep,,Dawson County: County Commission - District 2,100.0,"<b>Chris Gaines (I) (Rep)</b><br>17,226 votes",4,4
13,Rep,,Dawson County: County Commission - District 4,100.0,"<b>Chad Turkett (Rep)</b><br>17,244 votes",4,4
14,Rep,,Dawson County: County BOE - District 1,100.0,"<b>Doris N. Cook (I) (Rep)</b><br>17,317 votes",4,4
15,Rep,,Dawson County: County BOE - District 2,100.0,"<b>Elaine Walls Wilson (I) (Rep)</b><br>17,283 votes",4,4
16,Rep,,Dawson County: County BOE - District 4,100.0,"<b>Barry Slaton (I) (Rep)</b><br>17,238 votes",4,4
17,,,Dawson County: Homestead Exemption From Ad Valorem Taxes for County Purposes,76.17770968977403,"<b>Yes</b><br>13,923 votes",4,4
18,,,Dawson County: Homestead Exemption From Ad Valorem Taxes for County Purposes,23.822290310225966,"<b>No</b><br>4,354 votes",4,4
19,,,Dawson County: Homestead Exemption From Ad Valorem Taxes for Educational Purposes,82.71015357898736,"<b>Yes</b><br>15,241 votes",4,4
20,,,Dawson County: Homestead Exemption From Ad Valorem Taxes for Educational Purposes,17.289846421012644,"<b>No</b><br>3,186 votes",4,4
