,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67100,State House of Representatives - District 171,100.0,"<b>Joe Campbell (I) (Rep)</b><br>19,633 votes",28,28
2,Rep,73100,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
3,Ind,,Decatur County: Clerk of Superior Court,100.0,"<b>Cecilia B. Willis (I) (Ind)</b><br>9,825 votes",10,10
4,Rep,,Decatur County: Sheriff,39.497307001795335,"<b>John William Kirkus (Rep)</b><br>4,400 votes",10,10
5,Ind,,Decatur County: Sheriff,60.502692998204665,"<b>Wiley Griffin (I) (Ind)</b><br>6,740 votes",10,10
6,Ind,,Decatur County: Tax Commissioner,100.0,"<b>Mark Harrell (I) (Ind)</b><br>10,076 votes",10,10
7,Ind,,Decatur County: Coroner,100.0,"<b>Kenny Hollis (I) (Ind)</b><br>9,847 votes",10,10
8,Rep,,Decatur County: County Commission - District 2,77.45813653928725,"<b>Steve Brock (I) (Rep)</b><br>1,804 votes",4,4
9,Dem,,Decatur County: County Commission - District 2,22.54186346071275,<b>Stephanie Harrity (Dem)</b><br>525 votes,4,4
10,Dem,,Decatur County: County Commission - District 3,100.0,"<b>Dennis Brinson (I) (Dem)</b><br>1,228 votes",2,2
11,Rep,,Decatur County: County Commission - District 5,100.0,"<b>Bobby Barber, Jr. (I) (Rep)</b><br>1,674 votes",5,5
