,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,63300,State House of Representatives - District 133,100.0,"<b>Danny Mathis (I) (Rep)</b><br>21,374 votes",34,34
2,Rep,72700,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
3,Rep,,Dodge County: Clerk of Superior Court,100.0,"<b>Rhett Walker (I) (Rep)</b><br>7,118 votes",16,16
4,Rep,,Dodge County: Sheriff,100.0,"<b>Brian C. Robinson (I) (Rep)</b><br>7,157 votes",16,16
5,Rep,,Dodge County: Tax Commissioner,100.0,"<b>Jackie Carr Smith (Rep)</b><br>7,130 votes",16,16
6,Rep,,Dodge County: County Commission Chairman,100.0,"<b>Dan McCranie (I) (Rep)</b><br>7,002 votes",16,16
7,Rep,,Dodge County: County Commission - District 1,100.0,"<b>Sharon Cobb Flanagan (I) (Rep)</b><br>1,771 votes",3,3
8,,,Dodge County: (S) County Commission - District 2,52.14834916327453,"<b>Leigh Ann Cobb Greene</b><br>1,153 votes",6,6
9,,,Dodge County: (S) County Commission - District 2,6.965174129353234,<b>Allen Mills</b><br>154 votes,6,6
10,,,Dodge County: (S) County Commission - District 2,32.021709633649934,"<b>Melvin Hodge, Jr.</b><br>708 votes",6,6
11,,,Dodge County: (S) County Commission - District 2,8.864767073722298,<b>Tommy Thomas</b><br>196 votes,6,6
12,Rep,,Dodge County: County Commission - District 4,100.0,"<b>Jeffrey D. Jones (Rep)</b><br>1,022 votes",3,3
13,,,Dodge County: (S) SPLOST,55.878898603680014,"<b>Yes</b><br>4,282 votes",16,16
14,,,Dodge County: (S) SPLOST,44.12110139631998,"<b>No</b><br>3,381 votes",16,16
15,,,Dodge County: (S) Dodge Package Sales,66.4909348077665,"<b>Yes</b><br>5,171 votes",16,16
16,,,Dodge County: (S) Dodge Package Sales,33.509065192233514,"<b>No</b><br>2,606 votes",16,16
