,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42000,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
1,Rep,65000,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
2,Dem,65000,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
3,Dem,,Dooly County: Clerk of Superior Court,100.0,"<b>Rosa Childs (I) (Dem)</b><br>3,481 votes",5,5
4,Rep,,Dooly County: Coroner,36.50190114068441,"<b>James Crosby (Rep)</b><br>1,440 votes",5,5
5,Dem,,Dooly County: Coroner,63.49809885931559,"<b>Brett Walls (Dem)</b><br>2,505 votes",5,5
6,Rep,,Dooly County: Sheriff,19.648523309738835,<b>Chuck Gordon (Rep)</b><br>805 votes,5,5
7,Dem,,Dooly County: Sheriff,80.35147669026117,"<b>Steven Craig Peavy, Sr. (I) (Dem)</b><br>3,292 votes",5,5
8,Dem,,Dooly County: Tax Commissioner,100.0,"<b>Paula M. Smith (I) (Dem)</b><br>3,591 votes",5,5
9,Rep,,Dooly County: County Commissioner - District 5,46.88888888888889,<b>Wayne West (Rep)</b><br>422 votes,2,2
10,Dem,,Dooly County: County Commissioner - District 5,14.11111111111111,<b>Mike Roper (Dem)</b><br>127 votes,2,2
11,Ind,,Dooly County: County Commissioner - District 5,39.0,<b>David Barron (I) (Ind)</b><br>351 votes,2,2
12,,,Dooly County: Board of Education - District 2 (SE),71.571072319202,<b>Norman F. Dexter</b><br>574 votes,3,3
13,,,Dooly County: Board of Education - District 2 (SE),28.428927680798004,<b>Sharal A. Young</b><br>228 votes,3,3
