,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65100,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
2,Rep,65200,State House of Representatives - District 152,100.0,"<b>William J. 'Bill' Yearta (I) (Rep)</b><br>25,258 votes",25,25
3,Rep,65300,State House of Representatives - District 153,32.91205897840969,"<b>Brenda Battle (Rep)</b><br>6,875 votes",16,16
4,Dem,65300,State House of Representatives - District 153,67.08794102159031,"<b>David Sampson (I) (Dem)</b><br>14,014 votes",16,16
5,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
6,Dem,71300,District Attorney - Dougherty Judicial Circuit,100.0,"<b>Gregory W. Edwards (I) (Dem)</b><br>28,976 votes",25,25
7,Dem,,Dougherty County: Clerk of Superior Court,100.0,"<b>Phyllis Johnson (Dem)</b><br>28,728 votes",25,25
8,Dem,,Dougherty County: Sheriff,100.0,"<b>Terron Hayes (Dem)</b><br>28,929 votes",25,25
9,Dem,,Dougherty County: Coroner,100.0,"<b>Michael Fowler, Sr. (I) (Dem)</b><br>30,156 votes",25,25
10,Rep,,Dougherty County: County Commission - District 1,53.06097854904797,"<b>Ed Newsome (I) (Rep)</b><br>4,403 votes",4,4
11,Dem,,Dougherty County: County Commission - District 1,46.93902145095203,"<b>Larry G. Harris (Dem)</b><br>3,895 votes",4,4
12,Dem,,Dougherty County: County Commission - District 3,100.0,"<b>Clinton S. Johnson (I) (Dem)</b><br>3,687 votes",6,6
13,Dem,,Dougherty County: County Commission - District 5,100.0,"<b>Gloria J. Gaines (I) (Dem)</b><br>4,898 votes",6,6
14,Rep,,Dougherty County: County BOE - District 1,48.209533026857,"<b>David Maschke (Rep)</b><br>3,985 votes",4,4
15,Dem,,Dougherty County: County BOE - District 1,51.79046697314299,"<b>Carolyn D. Hand (I) (Dem)</b><br>4,281 votes",4,4
16,Dem,,Dougherty County: County BOE - District 3,100.0,"<b>Velvet E. Poole (I) (Dem)</b><br>3,671 votes",6,6
17,Dem,,Dougherty County: County BOE - District 5,100.0,"<b>James C. Bush (I) (Dem)</b><br>4,941 votes",6,6
18,Dem,,Dougherty County: County BOE - At Large,100.0,"<b>Geraldine West Hudley (I) (Dem)</b><br>28,727 votes",25,25
19,,,Dougherty County: Dougherty County ESPLOST,68.60092670336164,"<b>Yes</b><br>22,060 votes",25,25
20,,,Dougherty County: Dougherty County ESPLOST,31.39907329663837,"<b>No</b><br>10,097 votes",25,25
21,,,Dougherty County: Albany Sunday Sales,67.300486327035,"<b>Yes</b><br>16,883 votes",18,18
22,,,Dougherty County: Albany Sunday Sales,32.699513672965004,"<b>No</b><br>8,203 votes",18,18
