,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42800,State Senate - District 28,100.0,"<b>Donzella James (I) (Dem)</b><br>79,712 votes",56,56
1,Rep,43000,State Senate - District 30,65.04763376074978,"<b>Timothy J. Bearden (I) (Rep)</b><br>63,158 votes",43,43
2,Dem,43000,State Senate - District 30,34.952366239250225,"<b>Wanda Cooper (Dem)</b><br>33,937 votes",43,43
3,Rep,54000,State House of Representatives - District 40,59.349542352090076,"<b>Kimberly R. New (I) (Rep)</b><br>18,869 votes",9,9
4,Dem,54000,State House of Representatives - District 40,40.65045764790992,"<b>Montenia Edwards (Dem)</b><br>12,924 votes",9,9
5,Rep,56400,State House of Representatives - District 64,30.77046755418355,"<b>Cassaundra Burks (Rep)</b><br>9,569 votes",10,10
6,Dem,56400,State House of Representatives - District 64,69.22953244581646,"<b>Sylvia Wayfer Baker (Dem)</b><br>21,529 votes",10,10
7,Dem,56600,State House of Representatives - District 66,100.0,"<b>Kimberly Alexander (I) (Dem)</b><br>21,161 votes",12,12
8,Dem,71400,District Attorney - Douglas Judicial Circuit,100.0,"<b>Dalia Racine (I) (Dem)</b><br>56,567 votes",25,25
9,Dem,,Douglas County: Probate Judge,100.0,"<b>Valerie V. Vie (I) (Dem)</b><br>57,774 votes",25,25
10,Dem,,Douglas County: Clerk of Superior Court,100.0,"<b>Annetta Danley Stembridge (I) (Dem)</b><br>57,137 votes",25,25
11,Dem,,Douglas County: Sheriff,100.0,"<b>Tim Pounds (I) (Dem)</b><br>63,073 votes",25,25
12,Dem,,Douglas County: Tax Commissioner,100.0,"<b>Greg Baker (I) (Dem)</b><br>57,458 votes",25,25
13,Rep,,Douglas County: Coroner,35.58689520503363,"<b>Robert Jones (Rep)</b><br>24,603 votes",25,25
14,Dem,,Douglas County: Coroner,64.41310479496637,"<b>Renee B. Godwin (I) (Dem)</b><br>44,532 votes",25,25
15,Rep,,Douglas County: Commission Chair,35.712535493449025,"<b>Caesar Gonzales (Rep)</b><br>24,777 votes",25,25
16,Dem,,Douglas County: Commission Chair,64.28746450655098,"<b>Romona Jackson Jones (I) (Dem)</b><br>44,602 votes",25,25
17,Rep,,Douglas County: County Commissioner - District 2,19.131190269331018,"<b>Melody Wilcox (Rep)</b><br>3,303 votes",6,6
18,Dem,,Douglas County: County Commissioner - District 2,80.86880973066899,"<b>Whitney C. Kenner Jones (I) (Dem)</b><br>13,962 votes",6,6
19,Dem,,Douglas County: County BOE - District 1,100.0,"<b>Tameka Scott (Dem)</b><br>10,692 votes",7,7
20,Rep,,Douglas County: County BOE - District 5,100.0,"<b>Glenn Easterwood (I) (Rep)</b><br>13,154 votes",10,10
21,,,Douglas County: Soil and Water Conservation District Supervisor,100.0,"<b>James Wiley Brittain</b><br>56,519 votes",25,25
22,,,Douglas County: TSPLOST Referendum,42.660699037130826,"<b>Yes</b><br>28,976 votes",25,25
23,,,Douglas County: TSPLOST Referendum,57.339300962869174,"<b>No</b><br>38,946 votes",25,25
24,,,Douglas County: General Obligation Bond and ESPLOST Election,61.29774572743529,"<b>Yes</b><br>41,821 votes",25,25
25,,,Douglas County: General Obligation Bond and ESPLOST Election,38.702254272564716,"<b>No</b><br>26,405 votes",25,25
