,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41200,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
1,Rep,65400,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
2,Rep,,Early County: Clerk of Superior Court,100.0,"<b>Gayle W. Anderson (I) (Rep)</b><br>4,004 votes",5,5
3,Dem,,Early County: Sheriff,100.0,"<b>William ""Fats"" Price (I) (Dem)</b><br>3,991 votes",5,5
4,Rep,,Early County: Tax Commissioner,100.0,"<b>Ann Harrell (I) (Rep)</b><br>3,304 votes",5,5
5,Dem,,Early County: Tax Commissioner,0.0,<b>Lakieta Warren (Dem)</b><br>0 votes,5,5
6,Dem,,Early County: Surveyor,100.0,"<b>Grady Lodge Holman (I) (Dem)</b><br>3,927 votes",5,5
7,Dem,,Early County: Coroner,100.0,"<b>Crystal L. Tolbert (I) (Dem)</b><br>3,950 votes",5,5
8,Rep,,Early County: County Commission Chair,100.0,"<b>Hank Jester (I) (Rep)</b><br>3,833 votes",5,5
9,Dem,,Early County: County Commission - District 2,100.0,<b>Jeffery Haynes (I) (Dem)</b><br>895 votes,3,3
10,Rep,,Early County: County Commission - District 4,100.0,"<b>Taylor Bridges (I) (Rep)</b><br>1,266 votes",3,3
