,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
2,Rep,73200,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
3,Rep,,Echols County: Clerk of Superior Court,100.0,"<b>Nora Leigh Rogers (I) (Rep)</b><br>1,321 votes",1,1
4,Rep,,Echols County: Sheriff,100.0,"<b>Randy Courson (I) (Rep)</b><br>1,293 votes",1,1
5,Rep,,Echols County: Tax Commissioner,100.0,"<b>Amy Strickland (Rep)</b><br>1,325 votes",1,1
6,Rep,,Echols County: Coroner,100.0,"<b>Alan L. Leonard (Rep)</b><br>1,305 votes",1,1
7,Rep,,"Echols County: County Commission - District 1, Post 1",100.0,"<b>Bobby Walker (I) (Rep)</b><br>1,293 votes",1,1
8,Rep,,"Echols County: County Commission - District 1, Post 2",100.0,"<b>Stanley W. Corbett (I) (Rep)</b><br>1,293 votes",1,1
9,Rep,,"Echols County: County Commission - District 2, Post 1",100.0,"<b>Justin Donald Staten (Rep)</b><br>1,320 votes",1,1
10,Rep,,"Echols County: County Commission - District 3, Post 1",100.0,"<b>Bobbi Pohlman-Rodgers (Rep)</b><br>1,265 votes",1,1
11,,,Echols County: Soil and Water Conservation District - Alapaha District,100.0,"<b>Mark Corbett</b><br>1,302 votes",1,1
