,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40400,State Senate - District 4,100.0,"<b>Billy Hickman (I) (Rep)</b><br>74,309 votes",45,45
1,Rep,65900,State House of Representatives - District 159,100.0,"<b>Jon G. Burns (I) (Rep)</b><br>26,319 votes",22,22
2,Rep,66100,State House of Representatives - District 161,100.0,"<b>Bill Hitchens (I) (Rep)</b><br>23,751 votes",19,19
3,Rep,72800,District Attorney - Ogeechee Judicial Circuit,100.0,"<b>Robert Busbee (Rep)</b><br>65,604 votes",48,48
4,Rep,,Effingham County: Clerk of Superior Court,100.0,"<b>Walt Lawson (Rep)</b><br>30,845 votes",20,20
5,Rep,,Effingham County: Sheriff,100.0,"<b>Jimmy McDuffie (I) (Rep)</b><br>31,711 votes",20,20
6,Rep,,Effingham County: Tax Commissioner,100.0,"<b>Daniel Rodewolt (Rep)</b><br>30,896 votes",20,20
7,Rep,,Effingham County: Coroner,100.0,"<b>David H. Exley (I) (Rep)</b><br>31,304 votes",20,20
8,Rep,,Effingham County: County Commission Chairman,100.0,"<b>Damon M. Rahn (Rep)</b><br>30,707 votes",20,20
9,Rep,,Effingham County: County Commissioner - District 1,100.0,"<b>Frank Forrest Floyd (I) (Rep)</b><br>6,063 votes",4,4
10,Rep,,Effingham County: County Commissioner - District 4,100.0,"<b>Beth Helmly (Rep)</b><br>5,506 votes",3,3
