,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,62300,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
2,Dem,62300,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
3,Rep,72500,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
4,Rep,,Elbert County: Clerk of Superior Court,100.0,"<b>Leigh Starrett (I) (Rep)</b><br>8,246 votes",11,11
5,Rep,,Elbert County: Elbert Co Sheriff,53.17937361594433,"<b>Jamie Callaway (Rep)</b><br>5,043 votes",11,11
6,Dem,,Elbert County: Elbert Co Sheriff,46.82062638405568,"<b>Darren Scarborough (Dem)</b><br>4,440 votes",11,11
7,Rep,,Elbert County: Tax Commissioner,100.0,"<b>Lorrie Higginbotham (I) (Rep)</b><br>8,575 votes",11,11
8,Rep,,Elbert County: Coroner,100.0,"<b>Chuck Almond (I) (Rep)</b><br>8,480 votes",11,11
9,Rep,,Elbert County: General Solicitor,100.0,"<b>Matt Easom (Rep)</b><br>8,059 votes",11,11
10,Rep,,Elbert County: Board of Commissioners - District 1,100.0,"<b>David Hunt (I) (Rep)</b><br>1,409 votes",1,1
11,Rep,,Elbert County: Board of Commissioners - District 3,100.0,"<b>Chris Alexander (I) (Rep)</b><br>1,877 votes",4,4
12,Rep,,Elbert County: County BOE - District 1,100.0,"<b>Keith Harper (I) (Rep)</b><br>1,404 votes",1,1
13,Rep,,Elbert County: County BOE - District 4,100.0,"<b>Mike Turner (I) (Rep)</b><br>1,797 votes",3,3
14,,,Elbert County: Property Taxes Exemption for Educational Purposes for Certain Senior Citizens 1,73.37271511368702,"<b>Yes</b><br>6,583 votes",11,11
15,,,Elbert County: Property Taxes Exemption for Educational Purposes for Certain Senior Citizens 1,26.627284886312975,"<b>No</b><br>2,389 votes",11,11
16,,,Elbert County: Property Taxes Exemption for Certain Senior Citizens,74.2011701170117,"<b>Yes</b><br>6,595 votes",11,11
17,,,Elbert County: Property Taxes Exemption for Certain Senior Citizens,25.7988298829883,"<b>No</b><br>2,293 votes",11,11
18,,,Elbert County: Property Taxes Exemption for Educational Purposes for Certain Senior Citizens 2,71.78324453009863,"<b>Yes</b><br>6,332 votes",11,11
19,,,Elbert County: Property Taxes Exemption for Educational Purposes for Certain Senior Citizens 2,28.216755469901372,"<b>No</b><br>2,489 votes",11,11
20,,,Elbert County: Sales of Distilled Spirits and Alcoholic Drinks,55.65739225313694,"<b>Yes</b><br>5,101 votes",11,11
21,,,Elbert County: Sales of Distilled Spirits and Alcoholic Drinks,44.34260774686307,"<b>No</b><br>4,064 votes",11,11
22,,,Elbert County: Package Sales of Malt Bev,57.13218022635063,"<b>Yes</b><br>5,351 votes",11,11
23,,,Elbert County: Package Sales of Malt Bev,42.867819773649366,"<b>No</b><br>4,015 votes",11,11
