,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,65800,State House of Representatives - District 158,72.89470495577366,"<b>Butch Parrish (I) (Rep)</b><br>18,048 votes",19,19
3,Dem,65800,State House of Representatives - District 158,27.10529504422634,"<b>Madeline Ryan Smith  (Dem)</b><br>6,711 votes",19,19
4,Rep,72300,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
5,Rep,,Emanuel County: Clerk of Superior Court,100.0,"<b>Kristin Cannady Hall (I) (Rep)</b><br>8,209 votes",11,11
6,Rep,,Emanuel County: Sheriff,100.0,"<b>Jeffrey Lee Brewer (I) (Rep)</b><br>8,399 votes",11,11
7,Rep,,Emanuel County: Tax Commissioner,100.0,"<b>Jessica Underwood Moran (Rep)</b><br>8,072 votes",11,11
8,Rep,,Emanuel County: Coroner,100.0,"<b>W. Jeffrey Peebles (I) (Rep)</b><br>8,255 votes",11,11
9,Rep,,Emanuel County: Solicitor General,100.0,"<b>Cindy C. Delgado (I) (Rep)</b><br>7,911 votes",11,11
10,Dem,,Emanuel County: County Commission - District 1,100.0,"<b>Kawame Coleman (Dem)</b><br>1,173 votes",1,1
11,Rep,,Emanuel County: County Commission - District 3,100.0,"<b>John ""Johnny"" Moore (Rep)</b><br>1,920 votes",5,5
12,,,Emanuel County: BOE - District 5,39.909297052154194,<b>Karen E. McNeal</b><br>352 votes,1,1
13,,,Emanuel County: BOE - District 6,43.967280163599185,<b>Tiffany Tillman Foster</b><br>430 votes,1,1
14,,,Emanuel County: BOE - District 6,56.032719836400815,<b>Jeanette Harden</b><br>548 votes,1,1
15,,,Emanuel County: BOE - District 5,60.090702947845806,<b>Elizabeth DeVane</b><br>530 votes,1,1
