,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40400,State Senate - District 4,100.0,"<b>Billy Hickman (I) (Rep)</b><br>74,309 votes",45,45
1,Rep,65700,State House of Representatives - District 157,100.0,"<b>William 'Bill' Werkheiser (I) (Rep)</b><br>19,664 votes",24,24
2,Rep,,Evans County: Clerk of Superior Court,100.0,"<b>Sheila S. Blackburn (Rep)</b><br>3,578 votes",1,1
3,Rep,,Evans County: Sheriff,100.0,"<b>Mac Edwards (I) (Rep)</b><br>3,741 votes",1,1
4,Rep,,Evans County: Tax Commissioner,100.0,"<b>Julie E. Mincey (I) (Rep)</b><br>3,699 votes",1,1
5,Rep,,Evans County: Surveyor,100.0,"<b>Abraham D. Eason (Rep)</b><br>3,620 votes",1,1
6,Rep,,Evans County: Coroner,100.0,"<b>Mellie Nesmith (I) (Rep)</b><br>3,686 votes",1,1
7,Rep,,Evans County: State Court Solicitor,100.0,"<b>William E. ""Bill"" Callaway, Jr.(I) (Rep)</b><br>3,522 votes",1,1
8,Rep,,Evans County: County Commission - District 2,100.0,<b>Pratt Lockwood (I) (Rep)</b><br>659 votes,1,1
9,Rep,,Evans County: County Commission - District 4,85.24590163934425,<b>Earm Sapp (Rep)</b><br>624 votes,1,1
10,Dem,,Evans County: County Commission - District 4,14.754098360655737,<b>Edna B. Collins (Dem)</b><br>108 votes,1,1
11,Dem,,Evans County: County Commission - District 6,100.0,<b>Irene Y. Burney (I) (Dem)</b><br>451 votes,1,1
12,,,Evans County: (S) Claxton City Council - District 2,72.30046948356808,<b>Salena Moore</b><br>154 votes,1,1
13,,,Evans County: (S) Claxton City Council - District 2,27.699530516431924,<b>Jeremiah Taylor</b><br>59 votes,1,1
