,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,50700,State House of Representatives - District 7,100.0,"<b>Johnny Chastain (I) (Rep)</b><br>32,125 votes",26,26
2,Rep,70200,District Attorney - Appalachian Judicial Circuit,100.0,"<b>Frank Wood (I) (Rep)</b><br>48,374 votes",37,37
3,Rep,,Fannin County: Clerk of Superior Court,100.0,"<b>Dana C. Chastain (I) (Rep)</b><br>14,326 votes",12,12
4,Rep,,Fannin County: Sheriff,100.0,"<b>Dane Kirby (I) (Rep)</b><br>14,081 votes",12,12
5,Rep,,Fannin County: Tax Commissioner,100.0,"<b>Julie A. Walker (Rep)</b><br>14,129 votes",12,12
6,Rep,,Fannin County: Surveyor,100.0,"<b>Shelly J. Bishop (I) (Rep)</b><br>13,970 votes",12,12
7,Rep,,Fannin County: Coroner,100.0,"<b>Becky Callihan (I) (Rep)</b><br>14,204 votes",12,12
8,Rep,,Fannin County: County Commission Chairman,100.0,"<b>Jamie Hensley (I) (Rep)</b><br>14,224 votes",12,12
9,Rep,,Fannin County: County Commissioner - Post 1,86.82334810248507,"<b>Johnny Scearce (I) (Rep)</b><br>13,521 votes",12,12
10,Dem,,Fannin County: County Commissioner - Post 1,13.17665189751493,"<b>Larry Syputa (Dem)</b><br>2,052 votes",12,12
11,Rep,,Fannin County: County BOE (Bramlett),100.0,"<b>Ashley Herendon-Weeks (Rep)</b><br>14,087 votes",12,12
12,Rep,,Fannin County: County BOE (Deweese),100.0,"<b>Adam M. Born (Rep)</b><br>14,062 votes",12,12
13,Rep,,Fannin County: County BOE (Galloway),100.0,"<b>Robert Patterson (Rep)</b><br>14,031 votes",12,12
