,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41600,State Senate - District 16,65.77130824864965,"<b>Marty Harbin (I) (Rep)</b><br>71,842 votes",54,54
1,Dem,41600,State Senate - District 16,34.22869175135036,"<b>Amili Blake (Dem)</b><br>37,388 votes",54,54
2,Rep,43400,State Senate - District 34,18.052355719387165,"<b>Andrew E. Honeycutt (Rep)</b><br>12,537 votes",47,47
3,Dem,43400,State Senate - District 34,81.94764428061283,"<b>Kenya Wicks (Dem)</b><br>56,911 votes",47,47
4,Dem,56800,State House of Representatives - District 68,100.0,"<b>Derrick L. Jackson (I) (Dem)</b><br>24,208 votes",27,27
5,Dem,56900,State House of Representatives - District 69,100.0,"<b>Debra Bazemore (I) (Dem)</b><br>27,191 votes",22,22
6,Rep,57300,State House of Representatives - District 73,66.87884518070685,"<b>Josh Bonner (I) (Rep)</b><br>25,111 votes",15,15
7,Dem,57300,State House of Representatives - District 73,33.12115481929315,"<b>Tom Thomason (Dem)</b><br>12,436 votes",15,15
8,Rep,58200,State House of Representatives - District 82,62.948852557372135,"<b>Karen I. Mathiak (I) (Rep)</b><br>20,984 votes",18,18
9,Dem,58200,State House of Representatives - District 82,37.051147442627865,"<b>Anthony Dickson (Dem)</b><br>12,351 votes",18,18
10,Rep,71800,District Attorney - Griffin Judicial Circuit,100.0,"<b>Marie Greene Broder (I) (Rep)</b><br>104,053 votes",65,65
11,Rep,,Fayette County: Judge of Probate Court,100.0,"<b>Angela Landgaard (I) (Rep)</b><br>56,139 votes",36,36
12,Rep,,Fayette County: Clerk of Superior Court,57.947150329461316,"<b>Sheila Studdard (I) (Rep)</b><br>42,652 votes",36,36
13,Dem,,Fayette County: Clerk of Superior Court,42.05284967053869,"<b>Tonya Corbin (Dem)</b><br>30,953 votes",36,36
14,Rep,,Fayette County: Sheriff,100.0,"<b>Barry H. Babb (I) (Rep)</b><br>57,833 votes",36,36
15,Rep,,Fayette County: Tax Commissioner,58.42834042206248,"<b>Kristie King (I) (Rep)</b><br>42,998 votes",36,36
16,Dem,,Fayette County: Tax Commissioner,41.57165957793752,"<b>Angela Haynes (Dem)</b><br>30,593 votes",36,36
17,Rep,,Fayette County: Coroner,100.0,"<b>W. Bee Huddleston (I) (Rep)</b><br>57,337 votes",36,36
18,Rep,,Fayette County: Solicitor General - State Court,100.0,"<b>Jamie K. Inagawa (I) (Rep)</b><br>56,110 votes",36,36
19,Rep,,Fayette County: County Commission 1,56.33724486958456,"<b>Eric K. Maxwell (I) (Rep)</b><br>10,130 votes",10,10
20,Dem,,Fayette County: County Commission 1,43.662755130415434,"<b>Vickie Butler (Dem)</b><br>7,851 votes",10,10
21,Rep,,Fayette County: County Commission 2,62.89604472975772,"<b>Lee Hearn (I) (Rep)</b><br>12,149 votes",12,12
22,Dem,,Fayette County: County Commission 2,37.10395527024228,"<b>Bobby R. Jones (Dem)</b><br>7,167 votes",12,12
23,Rep,,Fayette County: County Commission 5 At Large,54.40944989665887,"<b>Charles W. Oddo (I) (Rep)</b><br>39,751 votes",36,36
24,Dem,,Fayette County: County Commission 5 At Large,45.59055010334114,"<b>Darryl A. Hicks (Dem)</b><br>33,308 votes",36,36
25,Rep,,Fayette County: County BOE 1,56.40414565205343,"<b>Randy Hough (I) (Rep)</b><br>10,177 votes",10,10
26,Dem,,Fayette County: County BOE 1,43.59585434794657,"<b>Lydia C. Powell (Dem)</b><br>7,866 votes",10,10
27,Rep,,Fayette County: County BOE 3,65.54621848739495,"<b>Scott Hollowell (I) (Rep)</b><br>12,402 votes",11,11
28,Dem,,Fayette County: County BOE 3,34.45378151260504,"<b>Kim Cox Owens (Dem)</b><br>6,519 votes",11,11
29,Rep,,Fayette County: County BOE 5 At Large,55.30685821975801,"<b>Brian Anderson (I) (Rep)</b><br>40,499 votes",36,36
30,Dem,,Fayette County: County BOE 5 At Large,44.69314178024199,"<b>Catherine Remkes (Dem)</b><br>32,727 votes",36,36
