,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45200,State Senate - District 52,100.0,"<b>Chuck Hufstetler (I) (Rep)</b><br>80,598 votes",35,35
1,Rep,45300,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
2,Dem,45300,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
3,Rep,50500,State House of Representatives - District 5,100.0,"<b>Matt Barton (I) (Rep)</b><br>24,874 votes",11,11
4,Rep,51200,State House of Representatives - District 12,81.68506593069611,"<b>Eddie Lumsden (I) (Rep)</b><br>21,310 votes",18,18
5,Dem,51200,State House of Representatives - District 12,18.314934069303895,"<b>Logan Johnson (Dem)</b><br>4,778 votes",18,18
6,Rep,51300,State House of Representatives - District 13,69.73399567342359,"<b>Katie Dempsey (I) (Rep)</b><br>17,407 votes",11,11
7,Dem,51300,State House of Representatives - District 13,30.266004326576397,"<b>Kevin Aronhalt (Dem)</b><br>7,555 votes",11,11
8,Rep,73000,District Attorney - Rome Judicial Circuit,100.0,"<b>Leigh E. Patterson (I) (Rep)</b><br>37,249 votes",19,19
9,Rep,,Floyd County: Clerk of Superior Court,100.0,"<b>Mary Hardin Thornton (Rep)</b><br>38,434 votes",19,19
10,Rep,,Floyd County: Sheriff,100.0,"<b>Dave Roberson (I) (Rep)</b><br>38,929 votes",19,19
11,Rep,,Floyd County: Tax Commissioner,100.0,"<b>Kevin D. Payne (I) (Rep)</b><br>38,300 votes",19,19
12,Rep,,Floyd County: Coroner,100.0,"<b>Gene Proctor (I) (Rep)</b><br>38,207 votes",19,19
13,Rep,,Floyd County: County Commissioner - Post 2,100.0,"<b>Mike Burnes (Rep)</b><br>37,730 votes",19,19
14,Rep,,Floyd County: County Commissioner - Post 3,100.0,"<b>Allison Watters (I) (Rep)</b><br>37,852 votes",19,19
15,Rep,,Floyd County: Floyd BOE - Post 2,100.0,"<b>Melinda Strickland (I) (Rep)</b><br>26,751 votes",18,18
16,Rep,,Floyd County: Floyd BOE - Post 3,100.0,"<b>Jay Shell (I) (Rep)</b><br>26,569 votes",18,18
17,Rep,,Floyd County: Floyd BOE - Post 5,100.0,"<b>Danny Waits (I) (Rep)</b><br>26,484 votes",18,18
