,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42700,State Senate - District 27,73.27251386092317,"<b>Greg Dolezal (I) (Rep)</b><br>76,783 votes",23,23
1,Dem,42700,State Senate - District 27,26.727486139076827,"<b>Hamza Nazir (Dem)</b><br>28,008 votes",23,23
2,Rep,44800,State Senate - District 48,53.57527215530445,"<b>Shawn Still (I) (Rep)</b><br>51,773 votes",37,37
3,Dem,44800,State Senate - District 48,46.42472784469555,"<b>Ashwin Ramaswami (Dem)</b><br>44,863 votes",37,37
4,Rep,51100,State House of Representatives - District 11,82.78017241379311,"<b>Rick Jasperse (I) (Rep)</b><br>30,728 votes",17,17
5,Dem,51100,State House of Representatives - District 11,17.219827586206897,"<b>Kayla L. Hollifield (Dem)</b><br>6,392 votes",17,17
6,Rep,52400,State House of Representatives - District 24,67.48357020298488,"<b>Carter Barrett (I) (Rep)</b><br>20,845 votes",9,9
7,Dem,52400,State House of Representatives - District 24,32.516429797015114,"<b>Randye Dugan (Dem)</b><br>10,044 votes",9,9
8,Rep,52500,State House of Representatives - District 25,61.01347393087288,"<b>Todd Jones (I) (Rep)</b><br>18,747 votes",8,8
9,Dem,52500,State House of Representatives - District 25,38.98652606912712,"<b>Elaine Padgett (Dem)</b><br>11,979 votes",8,8
10,Rep,52600,State House of Representatives - District 26,70.77490540239754,"<b>Lauren Wylie McDonald, III (I) (Rep)</b><br>22,258 votes",10,10
11,Dem,52600,State House of Representatives - District 26,29.225094597602467,"<b>Lakiea J. Bailey (Dem)</b><br>9,191 votes",10,10
12,Rep,52800,State House of Representatives - District 28,78.28655834564255,"<b>Brent Cox (I) (Rep)</b><br>26,500 votes",10,10
13,Dem,52800,State House of Representatives - District 28,21.71344165435746,"<b>Michael D. Henson (Dem)</b><br>7,350 votes",10,10
14,Rep,60000,State House of Representatives - District 100,62.37878739706865,"<b>David Clark (I) (Rep)</b><br>19,620 votes",9,9
15,Dem,60000,State House of Representatives - District 100,37.62121260293136,"<b>Jennifer Ambler (Dem)</b><br>11,833 votes",9,9
16,Rep,70500,District Attorney - Bell-Forsyth Judicial Circuit,100.0,"<b>Penny A. Penn (I) (Rep)</b><br>118,154 votes",29,29
17,Rep,,Forsyth County: Judge of the Probate Court,100.0,"<b>Daisy Weeks-Marisko (I) (Rep)</b><br>118,356 votes",29,29
18,Rep,,Forsyth County: Clerk of Superior Court,100.0,"<b>Greg G. Allen (I) (Rep)</b><br>118,966 votes",29,29
19,Rep,,Forsyth County: Sheriff,100.0,"<b>Ron H. Freeman (I) (Rep)</b><br>120,184 votes",29,29
20,Rep,,Forsyth County: Tax Commissioner,100.0,"<b>Matthew C. Ledbetter (I) (Rep)</b><br>119,794 votes",29,29
21,Rep,,Forsyth County: Coroner,100.0,"<b>Paul W. Holbrook (I) (Rep)</b><br>118,946 votes",29,29
22,Rep,,Forsyth County: County Commission - District 2,100.0,"<b>Alfred John (I) (Rep)</b><br>21,992 votes",9,9
23,Rep,,Forsyth County: County Commission - District 4,79.29322329897613,"<b>Mendy Moore (Rep)</b><br>23,156 votes",8,8
24,Dem,,Forsyth County: County Commission - District 4,20.70677670102387,"<b>Kat Jewell (Dem)</b><br>6,047 votes",8,8
25,Rep,,Forsyth County: County Commission - District 5,64.20400000000001,"<b>Laura Semanson (I) (Rep)</b><br>16,051 votes",10,10
26,Dem,,Forsyth County: County Commission - District 5,35.796,"<b>Cary S. Green (Dem)</b><br>8,949 votes",10,10
27,Rep,,Forsyth County: County BOE - District 2,61.06382978723405,"<b>Trisha Hoyes (Rep)</b><br>15,785 votes",9,9
28,Dem,,Forsyth County: County BOE - District 2,38.93617021276596,"<b>Jessica Fleming (Dem)</b><br>10,065 votes",9,9
29,Rep,,Forsyth County: County BOE - District 3,65.46288906624102,"<b>Dorian Usherwood (Rep)</b><br>16,405 votes",7,7
30,Dem,,Forsyth County: County BOE - District 3,34.53711093375898,"<b>Debbie Stair (Dem)</b><br>8,655 votes",7,7
31,Rep,,Forsyth County: County BOE - District 4,78.1106464660314,"<b>Chris Grimes (Rep)</b><br>22,788 votes",8,8
32,Dem,,Forsyth County: County BOE - District 4,21.889353533968603,"<b>Claudia J. Wood (Dem)</b><br>6,386 votes",8,8
33,,,Forsyth County: Special Upper Chattahoochee River Soil and Water,70.30343658929452,"<b>Wesley V. Hall</b><br>75,508 votes",29,29
34,,,Forsyth County: Special Upper Chattahoochee River Soil and Water,29.696563410705473,"<b>Roger Pennifill</b><br>31,895 votes",29,29
35,,,Forsyth County: Homestead Exemption for School Dist Ad Valorem Taxes,73.96518101468877,"<b>Yes</b><br>94,063 votes",29,29
36,,,Forsyth County: Homestead Exemption for School Dist Ad Valorem Taxes,26.03481898531123,"<b>No</b><br>33,109 votes",29,29
37,,,Forsyth County: Special Purpose Local Option Sales Tax,58.77908362093483,"<b>Yes</b><br>76,471 votes",29,29
38,,,Forsyth County: Special Purpose Local Option Sales Tax,41.22091637906517,"<b>No</b><br>53,628 votes",29,29
39,,,Forsyth County: Redevelopment Powers,55.93274061395584,"<b>Yes</b><br>70,586 votes",29,29
40,,,Forsyth County: Redevelopment Powers,44.06725938604416,"<b>No</b><br>55,612 votes",29,29
