,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,53300,State House of Representatives - District 33,100.0,"<b>Alan Powell (I) (Rep)</b><br>29,061 votes",20,20
3,Rep,72500,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
4,Rep,,Franklin County: Clerk of Superior Court,100.0,"<b>Heather Hill (I) (Rep)</b><br>11,121 votes",7,7
5,Rep,,Franklin County: Sheriff,100.0,"<b>Scott Andrews (Rep)</b><br>10,974 votes",7,7
6,Rep,,Franklin County: Tax Commissioner,100.0,"<b>Bobby Martin (I) (Rep)</b><br>11,086 votes",7,7
7,Rep,,Franklin County: Coroner,100.0,"<b>Scott O'Barr (I) (Rep)</b><br>11,102 votes",7,7
8,Rep,,Franklin County: County Commission Chairman/Person,100.0,"<b>Courtney Long (Rep)</b><br>10,979 votes",7,7
9,Rep,,Franklin County: County Commission - District 1 At Large,100.0,"<b>Wanda Thompson (Rep)</b><br>11,041 votes",7,7
10,Rep,,Franklin County: County Commission - District 2 At Large,100.0,"<b>Cory Pulliam (Rep)</b><br>10,994 votes",7,7
11,Rep,,Franklin County: County BOE - Post 1,100.0,"<b>Jason Oliver (Rep)</b><br>11,017 votes",7,7
12,Rep,,Franklin County: County BOE - Post 2,100.0,"<b>Kent Hall (I) (Rep)</b><br>10,946 votes",7,7
