,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,41400,State Senate - District 14,100.0,"<b>Josh McLaurin (I) (Dem)</b><br>72,408 votes",74,74
1,Rep,42100,State Senate - District 21,70.345333678667,"<b>Brandon Beach (I) (Rep)</b><br>81,481 votes",50,50
2,Dem,42100,State Senate - District 21,29.65466632133299,"<b>Lillia Michelle Lionel (Dem)</b><br>34,349 votes",50,50
3,Dem,42800,State Senate - District 28,100.0,"<b>Donzella James (I) (Dem)</b><br>79,712 votes",56,56
4,Dem,43500,State Senate - District 35,100.0,"<b>Jason Esteves (I) (Dem)</b><br>82,713 votes",65,65
5,Dem,43600,State Senate - District 36,100.0,"<b>Nan Orrock (I) (Dem)</b><br>82,021 votes",84,84
6,Dem,43800,State Senate - District 38,100.0,"<b>RaShaun Kemp (Dem)</b><br>81,270 votes",92,92
7,Dem,43900,State Senate - District 39,100.0,"<b>Sonya Halpern (I) (Dem)</b><br>77,219 votes",92,92
8,Rep,44800,State Senate - District 48,53.57527215530445,"<b>Shawn Still (I) (Rep)</b><br>51,773 votes",37,37
9,Dem,44800,State Senate - District 48,46.42472784469555,"<b>Ashwin Ramaswami (Dem)</b><br>44,863 votes",37,37
10,Rep,45600,State Senate - District 56,61.230842101701796,"<b>John Albers (I) (Rep)</b><br>72,392 votes",44,44
11,Dem,45600,State Senate - District 56,38.769157898298204,"<b>JD Jordan (Dem)</b><br>45,836 votes",44,44
12,Rep,52500,State House of Representatives - District 25,61.01347393087288,"<b>Todd Jones (I) (Rep)</b><br>18,747 votes",8,8
13,Dem,52500,State House of Representatives - District 25,38.98652606912712,"<b>Elaine Padgett (Dem)</b><br>11,979 votes",8,8
14,Rep,54700,State House of Representatives - District 47,61.58040723696653,"<b>Jan Jones (I) (Rep)</b><br>19,537 votes",20,20
15,Dem,54700,State House of Representatives - District 47,38.41959276303347,"<b>Debra Shigley (Dem)</b><br>12,189 votes",20,20
16,Rep,54800,State House of Representatives - District 48,54.87219724175393,"<b>Scott Hilton (I) (Rep)</b><br>18,183 votes",22,22
17,Dem,54800,State House of Representatives - District 48,45.12780275824607,"<b>Laura Murvartian (Dem)</b><br>14,954 votes",22,22
18,Rep,54900,State House of Representatives - District 49,59.49947127247091,"<b>Chuck Martin (I) (Rep)</b><br>21,944 votes",20,20
19,Dem,54900,State House of Representatives - District 49,40.50052872752908,"<b>Grace Demit (Dem)</b><br>14,937 votes",20,20
20,Rep,55000,State House of Representatives - District 50,44.651016777704136,"<b>Narender Reddy (Rep)</b><br>12,801 votes",16,16
21,Dem,55000,State House of Representatives - District 50,55.34898322229586,"<b>Michelle Au (I) (Dem)</b><br>15,868 votes",16,16
22,Rep,55100,State House of Representatives - District 51,41.93638882070344,"<b>Derek Keith Gettmann (Rep)</b><br>11,959 votes",19,19
23,Dem,55100,State House of Representatives - District 51,58.06361117929656,"<b>Esther Panitch (I) (Dem)</b><br>16,558 votes",19,19
24,Rep,55200,State House of Representatives - District 52,38.35027100271003,"<b>Robert Brandon McNeily (Rep)</b><br>11,321 votes",26,26
25,Dem,55200,State House of Representatives - District 52,61.64972899728998,"<b>Shea Roberts (I) (Dem)</b><br>18,199 votes",26,26
26,Rep,55300,State House of Representatives - District 53,51.91887055080533,"<b>Deborah Silcox (I) (Rep)</b><br>18,277 votes",23,23
27,Dem,55300,State House of Representatives - District 53,48.08112944919467,"<b>Susie Greenberg (Dem)</b><br>16,926 votes",23,23
28,Rep,55400,State House of Representatives - District 54,40.331748828241864,"<b>Samantha ""Sam"" Brown Parks (Rep)</b><br>12,133 votes",19,19
29,Dem,55400,State House of Representatives - District 54,59.668251171758136,"<b>Betsy Holland (I) (Dem)</b><br>17,950 votes",19,19
30,Rep,55500,State House of Representatives - District 55,22.135463954966404,"<b>Samuel S. Lenaeus (Rep)</b><br>6,095 votes",30,30
31,Dem,55500,State House of Representatives - District 55,77.86453604503359,"<b>Inga S. Willis (I) (Dem)</b><br>21,440 votes",30,30
32,Rep,55600,State House of Representatives - District 56,16.221398997602964,"<b>Mesha K. Mainor (I) (Rep)</b><br>3,722 votes",28,28
33,Dem,55600,State House of Representatives - District 56,83.77860100239704,"<b>Bryce Berry (Dem)</b><br>19,223 votes",28,28
