,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
1,Rep,50700,State House of Representatives - District 7,100.0,"<b>Johnny Chastain (I) (Rep)</b><br>32,125 votes",26,26
2,Rep,70200,District Attorney - Appalachian Judicial Circuit,100.0,"<b>Frank Wood (I) (Rep)</b><br>48,374 votes",37,37
3,Rep,,Gilmer County: Judge of Probate Court,100.0,"<b>Scott C. Chastain (I) (Rep)</b><br>16,061 votes",13,13
4,Rep,,Gilmer County: Clerk of Superior Court,100.0,"<b>Amy E. Johnson (I) (Rep)</b><br>15,982 votes",13,13
5,Rep,,Gilmer County: Sheriff,100.0,"<b>Stacy L. Nicholson (I) (Rep)</b><br>16,149 votes",13,13
6,Rep,,Gilmer County: Tax Commissioner,100.0,"<b>Rebecca ""Becky"" Marshall (I) (Rep)</b><br>16,091 votes",13,13
7,Rep,,Gilmer County: Coroner,100.0,"<b>Jerry B. Hensley (I) (Rep)</b><br>15,996 votes",13,13
8,Rep,,Gilmer County: Chief Magistrate,100.0,"<b>Kevin ""Troop"" Johnson (I) (Rep)</b><br>15,813 votes",13,13
9,Rep,,Gilmer County: County Commission - Post 1,100.0,"<b>Karleen P. Ferguson (Rep)</b><br>15,620 votes",13,13
10,,,Gilmer County: TSPLOST,42.85955911371709,"<b>Yes</b><br>7,602 votes",13,13
11,,,Gilmer County: TSPLOST,57.1404408862829,"<b>No</b><br>10,135 votes",13,13
