,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42300,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
1,Dem,42300,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
2,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
3,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
4,Dem,73700,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
5,Rep,,Glascock County: Clerk of Superior Court,100.0,"<b>Kristie Stephens (I) (Rep)</b><br>1,521 votes",4,4
6,Rep,,Glascock County: Sheriff,100.0,"<b>Jeremy Kelley (I) (Rep)</b><br>1,429 votes",4,4
7,Rep,,Glascock County: Tax Commissioner,100.0,"<b>Sharon Swint Lyons (I) (Rep)</b><br>1,539 votes",4,4
8,Rep,,Glascock County: Coroner,100.0,"<b>Connie Kitchens-Jackson (I) (Rep)</b><br>1,530 votes",4,4
9,Rep,,Glascock County: County Commission Chairman,70.49591964846202,"<b>John “Ant” Griswell (Rep)</b><br>1,123 votes",4,4
10,Dem,,Glascock County: County Commission Chairman,29.504080351537983,<b>Greg Johnson (Dem)</b><br>470 votes,4,4
11,Rep,,Glascock County: County Commission - District 1 Gibson,100.0,"<b>William “Billy” Wasden (Rep)</b><br>1,501 votes",4,4
12,Rep,,Glascock County: County Commission - District 3 Mitchell,100.0,"<b>Charles C. Roberts, Jr. (Rep)</b><br>1,496 votes",4,4
