,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40300,State Senate - District 3,100.0,"<b>Mike Hodges (I) (Rep)</b><br>77,114 votes",48,48
1,Rep,66700,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
2,Dem,66700,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
3,Rep,67900,State House of Representatives - District 179,100.0,"<b>Rick Townsend (I) (Rep)</b><br>22,336 votes",13,13
4,Rep,68000,State House of Representatives - District 180,69.35028248587571,"<b>Steven Sainz (I) (Rep)</b><br>19,640 votes",13,13
5,Dem,68000,State House of Representatives - District 180,30.64971751412429,"<b>Defonsio Daniels (Dem)</b><br>8,680 votes",13,13
6,Rep,70700,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
7,Rep,,Glynn County: Chief Magistrate Judge,100.0,"<b>Steven L. Morgan (I) (Rep)</b><br>34,571 votes",17,17
8,Rep,,Glynn County: Clerk of Superior Court,100.0,"<b>Rebecca J. Walden (I) (Rep)</b><br>34,751 votes",17,17
9,Rep,,Glynn County: Probate Judge,100.0,"<b>Kelly S. Lanier (Rep)</b><br>34,623 votes",17,17
10,Rep,,Glynn County: Sheriff,100.0,"<b>E. Neal Jump (I) (Rep)</b><br>35,515 votes",17,17
11,Rep,,Glynn County: Tax Commissioner,100.0,"<b>J.L. ""Jeff"" Chapman (I) (Rep)</b><br>35,435 votes",17,17
12,Rep,,Glynn County: Surveyor,100.0,"<b>C. Teeple Hill (I) (Rep)</b><br>34,571 votes",17,17
13,Rep,,Glynn County: Coroner,100.0,"<b>Marc Neu (I) (Rep)</b><br>34,837 votes",17,17
14,Rep,,Glynn County: County Commissioner - At Large - Post 2,100.0,"<b>Walter Rafolski (I) (Rep)</b><br>34,221 votes",17,17
15,Rep,,Glynn County: County Commissioner - District 1,100.0,"<b>Sammy Tostensen (I) (Rep)</b><br>8,239 votes",7,7
16,Rep,,Glynn County: County Commissioner - District 2,100.0,"<b>Bob Duncan (Rep)</b><br>10,399 votes",3,3
17,Dem,,Glynn County: County Commissioner - District 5,100.0,"<b>Allen Booker (I) (Dem)</b><br>4,040 votes",5,5
18,Rep,,Glynn County: County BOE - At Large - Post 2,100.0,"<b>Susan Lee (Rep)</b><br>34,333 votes",17,17
19,Rep,,Glynn County: County BOE - Board Member - District 1,100.0,"<b>Jeff Dodgen (Rep)</b><br>8,265 votes",7,7
20,Rep,,Glynn County: County BOE - District 3,70.4054054054054,"<b>John Madala (I) (Rep)</b><br>6,252 votes",5,5
21,Dem,,Glynn County: County BOE - District 5,100.0,"<b>Audrey Gibbons (I) (Dem)</b><br>4,086 votes",5,5
22,,,Glynn County: Soil and Water Supervisor,100.0,"<b>Heath Holdsworth</b><br>33,196 votes",17,17
23,,,Glynn County: (S) 1% Sales Tax,54.68070009460738,"<b>Yes</b><br>23,119 votes",17,17
24,,,Glynn County: (S) 1% Sales Tax,45.31929990539262,"<b>No</b><br>19,161 votes",17,17
25,Dem,,Glynn County: County BOE - District 3,29.594594594594593,"<b>Bob McKenzie (Dem)</b><br>2,628 votes",5,5
