,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45200,State Senate - District 52,100.0,"<b>Chuck Hufstetler (I) (Rep)</b><br>80,598 votes",35,35
1,Rep,45400,State Senate - District 54,100.0,"<b>Chuck Payne (I) (Rep)</b><br>69,447 votes",39,39
2,Rep,50500,State House of Representatives - District 5,100.0,"<b>Matt Barton (I) (Rep)</b><br>24,874 votes",11,11
3,Rep,50600,State House of Representatives - District 6,85.30066815144765,"<b>Jason T. Ridley (I) (Rep)</b><br>22,597 votes",14,14
4,Dem,50600,State House of Representatives - District 6,14.699331848552339,"<b>Cathy Kott (Dem)</b><br>3,894 votes",14,14
5,Rep,70850,District Attorney - Cherokee Judicial Circuit,100.0,"<b>Erle J. Newton, III (Rep)</b><br>72,987 votes",29,29
6,Rep,,Gordon County: Clerk of Superior Court,100.0,"<b>Grant Walraven (I) (Rep)</b><br>24,611 votes",12,12
7,Rep,,Gordon County: Sheriff,100.0,"<b>Mitch Ralston (I) (Rep)</b><br>23,848 votes",12,12
8,Rep,,Gordon County: Tax Commissioner,100.0,"<b>T. Scott Clements (I) (Rep)</b><br>24,582 votes",12,12
9,Rep,,Gordon County: Coroner,100.0,"<b>Nick Blalock (Rep)</b><br>24,239 votes",12,12
10,Rep,,Gordon County: Chief Magistrate,100.0,"<b>James Patrick Rasbury (I) (Rep)</b><br>24,083 votes",12,12
11,Rep,,Gordon County: County Commission 1,100.0,"<b>M. L. “Bud” Owens (I) (Rep)</b><br>24,167 votes",12,12
12,Rep,,Gordon County: County Commission 3,100.0,"<b>Randy Abernathy (I) (Rep)</b><br>24,162 votes",12,12
13,Rep,,Gordon County: County Commission 5,100.0,"<b>Kevin L. Cunningham (I) (Rep)</b><br>23,815 votes",12,12
14,Rep,,Gordon County: County BOE 4,100.0,"<b>Bobby E. Hall (I) (Rep)</b><br>17,619 votes",11,11
15,Rep,,Gordon County: County BOE 6,100.0,"<b>Christie Owens Fox (I) (Rep)</b><br>17,841 votes",11,11
16,,,Gordon County: City of Fairmount Proposed Referendum,69.36708860759494,<b>Yes</b><br>274 votes,1,1
17,,,Gordon County: City of Fairmount Proposed Referendum,30.632911392405067,<b>No</b><br>121 votes,1,1
