,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41100,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
1,Rep,67100,State House of Representatives - District 171,100.0,"<b>Joe Campbell (I) (Rep)</b><br>19,633 votes",28,28
2,Rep,67300,State House of Representatives - District 173,65.46873198293423,"<b>Darlene K. Taylor (I) (Rep)</b><br>17,033 votes",25,25
3,Dem,67300,State House of Representatives - District 173,34.53126801706576,"<b>Theresa Thomas (Dem)</b><br>8,984 votes",25,25
4,Rep,73100,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
5,Rep,,Grady County: Clerk of Superior Court,100.0,"<b>Staci Newmons (Rep)</b><br>8,797 votes",13,13
6,Rep,,Grady County: Sheriff,70.60843964671247,"<b>Earl Prince (Rep)</b><br>7,195 votes",13,13
7,Ind,,Grady County: Sheriff,29.391560353287538,"<b>Harry C. Young (I) (Ind)</b><br>2,995 votes",13,13
8,Rep,,Grady County: Tax Commissioner,100.0,"<b>Jeff Worsham (Rep)</b><br>8,928 votes",13,13
9,Rep,,Grady County: Coroner,62.45917387127762,"<b>Rusty Powe (I) (Rep)</b><br>6,502 votes",13,13
10,Dem,,Grady County: Coroner,37.54082612872238,"<b>Ronnie Corker (Dem)</b><br>3,908 votes",13,13
11,Rep,,Grady County: Chief Magistrate,100.0,"<b>Pat Pollock (I) (Rep)</b><br>8,982 votes",13,13
12,Rep,,Grady County: County Commission - District 1,100.0,"<b>Yancey Maxwell (Rep)</b><br>2,316 votes",7,7
13,Rep,,Grady County: County Commission - District 3,100.0,"<b>Sam Kines (Rep)</b><br>2,048 votes",6,6
14,Dem,,Grady County: County Commission - District 4,100.0,"<b>LaFaye Copeland (I) (Dem)</b><br>1,382 votes",3,3
15,,,Grady County: Grady County TSPLOST,65.15985704626678,"<b>Yes</b><br>6,746 votes",13,13
16,,,Grady County: Grady County TSPLOST,34.84014295373321,"<b>No</b><br>3,607 votes",13,13
