,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,62400,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
2,Dem,62400,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
3,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
4,Dem,,Greene County: Clerk of Superior Court,100.0,"<b>Deborah D. Jackson (I) (Dem)</b><br>8,981 votes",5,5
5,Rep,,Greene County: Sheriff,100.0,"<b>Donnie A. Harrison, Jr. (I) (Rep)</b><br>10,949 votes",5,5
6,Rep,,Greene County: Tax Commissioner,100.0,"<b>Celeste Thurmond (Rep)</b><br>10,752 votes",5,5
7,Rep,,Greene County: Coroner,100.0,"<b>Chris Peters (Rep)</b><br>10,640 votes",5,5
8,Rep,,Greene County: County Commission Chairman,100.0,"<b>Gary W. Usry (I) (Rep)</b><br>10,791 votes",5,5
9,Rep,,Greene County: County Commission - District 2,100.0,"<b>Jeffery L. Smith (I) (Rep)</b><br>2,538 votes",3,3
10,Rep,,Greene County: County Commission - District 4,100.0,"<b>Mark Blanton (Rep)</b><br>4,147 votes",1,1
11,Rep,,Greene County: County BOE Chairman,69.50658160381168,"<b>Otho Tucker (Rep)</b><br>8,607 votes",5,5
12,Dem,,Greene County: County BOE Chairman,30.49341839618832,"<b>Kristine Marchelle Mapp (Dem)</b><br>3,776 votes",5,5
13,Rep,,Greene County: County BOE - District 2,100.0,"<b>Joe Bashore (I) (Rep)</b><br>2,489 votes",3,3
14,Rep,,Greene County: County BOE - District 4,100.0,"<b>Maggie Combs (Rep)</b><br>4,001 votes",1,1
