,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,51000,State House of Representatives - District 10,82.93582099121626,"<b>Victor Anderson (I) (Rep)</b><br>25,871 votes",6,6
3,Dem,51000,State House of Representatives - District 10,17.06417900878374,"<b>Paulette Williams (Dem)</b><br>5,323 votes",6,6
4,Rep,53200,State House of Representatives - District 32,100.0,"<b>Chris Erwin (I) (Rep)</b><br>27,370 votes",17,17
5,Rep,72400,District Attorney - Mountain Judicial Circuit,100.0,"<b>George R. Christian (I) (Rep)</b><br>41,074 votes",8,8
6,Rep,,Habersham County: Judge of the Probate Court,100.0,"<b>Pamela F. Wooley (I) (Rep)</b><br>20,749 votes",6,6
7,Rep,,Habersham County: Clerk of Superior Court,100.0,"<b>David Clyde Wall (I) (Rep)</b><br>20,763 votes",6,6
8,Rep,,Habersham County: Sheriff,100.0,"<b>Robin Krockum (Rep)</b><br>20,687 votes",6,6
9,Rep,,Habersham County: Tax Commissioner,100.0,"<b>June Black-Warren (I) (Rep)</b><br>20,276 votes",6,6
10,Rep,,Habersham County: Coroner,100.0,"<b>Kasey Charles McEntire (I) (Rep)</b><br>20,913 votes",6,6
11,Rep,,Habersham County: Chief Magistrate Judge,100.0,"<b>Tricia L. Hise (I) (Rep)</b><br>20,431 votes",6,6
12,Rep,,Habersham County: Solicitor of State Court,100.0,"<b>Jessica Barrett Martin (I) (Rep)</b><br>20,292 votes",6,6
13,Rep,,Habersham County: County Commission - District 1,100.0,"<b>Kelly M. Woodall (Rep)</b><br>20,209 votes",6,6
14,Rep,,Habersham County: County Commission - District 4,100.0,"<b>Bruce Harkness (I) (Rep)</b><br>20,211 votes",6,6
15,Rep,,Habersham County: County Commission - District 5,100.0,"<b>Ty Akins (I) (Rep)</b><br>20,090 votes",6,6
16,Rep,,Habersham County: County BOE - District 1,100.0,"<b>Douglas E. Westmoreland (I) (Rep)</b><br>20,240 votes",6,6
17,Rep,,Habersham County: County BOE - District 2,100.0,"<b>Robert Harold Barron (I) (Rep)</b><br>20,197 votes",6,6
18,,,Habersham County: Special City Councilmember Post 2 - Baldwin,56.53896961690885,<b>Nancy Lehman</b><br>428 votes,1,1
19,,,Habersham County: Special City Councilmember Post 2 - Baldwin,43.46103038309115,<b>Mark Mullinax</b><br>329 votes,1,1
