,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Dem,42600,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
1,Rep,62800,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
2,Dem,62800,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
3,Rep,72600,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",61,61
4,Dem,,Hancock County: Probate Judge,100.0,"<b>Sabrina Lamar (I) (Dem)</b><br>3,324 votes",10,10
5,Dem,,Hancock County: Clerk of Superior Court,100.0,"<b>LeShauna Reid Jackson (I) (Dem)</b><br>3,334 votes",10,10
6,Rep,,Hancock County: Sheriff,32.97846600532301,"<b>Frank Anthony Meeks (Rep)</b><br>1,363 votes",10,10
7,Dem,,Hancock County: Sheriff,67.02153399467699,"<b>Tomlyn Terrell Primus (I) (Dem)</b><br>2,770 votes",10,10
8,Dem,,Hancock County: Tax Commissioner,100.0,"<b>Fantasia Brown Scott (Dem)</b><br>3,305 votes",10,10
9,Rep,,Hancock County: Coroner,29.90995376003894,"<b>Gregory Lee Avrett (Rep)</b><br>1,229 votes",10,10
10,Dem,,Hancock County: Coroner,70.09004623996105,"<b>Dontrelle Andrews (Dem)</b><br>2,880 votes",10,10
11,Rep,,Hancock County: County Commissioner Chairman,34.554216867469876,"<b>Patrick Steven Dragos (Rep)</b><br>1,434 votes",10,10
12,Dem,,Hancock County: County Commissioner Chairman,65.44578313253012,"<b>Adrick Alexander Ingram (Dem)</b><br>2,716 votes",10,10
13,Rep,,Hancock County: County Commission - District 1,44.71544715447154,<b>Troy Eugene Wheeler (Rep)</b><br>550 votes,2,2
14,Dem,,Hancock County: County Commission - District 1,55.28455284552846,<b>Jeremiah Hall (Dem)</b><br>680 votes,2,2
15,Dem,,Hancock County: County Commission - District 2,100.0,<b>Steve Hill (I) (Dem)</b><br>809 votes,2,2
16,Dem,,Hancock County: County Commission - District 3,100.0,<b>Charles Anthony Jackson (Dem)</b><br>747 votes,3,3
17,Dem,,Hancock County: County Commission - District 4,100.0,<b>Randolph Clayton (I) (Dem)</b><br>871 votes,3,3
18,,,Hancock County: (S) Hancock SPLOST,53.8974358974359,"<b>Yes</b><br>2,102 votes",10,10
19,,,Hancock County: (S) Hancock SPLOST,46.1025641025641,"<b>No</b><br>1,798 votes",10,10
20,,,Hancock County: (S) BOE - District 1,40.14447884416924,<b>Ramirez Lewis</b><br>389 votes,2,2
21,,,Hancock County: (S) BOE - District 1,59.85552115583075,<b>Reginald B. Reynolds</b><br>580 votes,2,2
22,,,Hancock County: Piedmont Soil and Water Supervisor,100.0,"<b>Richard Josyln (I)</b><br>2,910 votes",10,10
