,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,43000,State Senate - District 30,65.04763376074978,"<b>Timothy J. Bearden (I) (Rep)</b><br>63,158 votes",43,43
1,Dem,43000,State Senate - District 30,34.952366239250225,"<b>Wanda Cooper (Dem)</b><br>33,937 votes",43,43
2,Rep,51800,State House of Representatives - District 18,100.0,"<b>Tyler Paul Smith (I) (Rep)</b><br>30,101 votes",21,21
3,Rep,73500,District Attorney - Tallapoosa Judicial Circuit,100.0,"<b>Jaeson Robert Smith (Rep)</b><br>31,548 votes",19,19
4,Rep,,Haralson County: Probate Judge,100.0,"<b>J. Edward Hulsey, Jr. (I) (Rep)</b><br>15,173 votes",12,12
5,Rep,,Haralson County: Clerk of Superior Court,100.0,"<b>Amy Richie Muse (I) (Rep)</b><br>15,109 votes",12,12
6,Rep,,Haralson County: Sheriff,100.0,"<b>Stacy Ralph Williams (I) (Rep)</b><br>15,157 votes",12,12
7,Rep,,Haralson County: Tax Commissioner,100.0,"<b>Natasha O. Pope (I) (Rep)</b><br>15,128 votes",12,12
8,Rep,,Haralson County: Surveyor,100.0,"<b>Gregory Jack Dewberry (I) (Rep)</b><br>15,043 votes",12,12
9,Rep,,Haralson County: Coroner,100.0,"<b>Patty S. Hutcheson (I) (Rep)</b><br>15,195 votes",12,12
10,Rep,,Haralson County: Magistrate Judge,100.0,"<b>Jason Blackmon (I) (Rep)</b><br>15,114 votes",12,12
11,Rep,,Haralson County: Commission Chair,100.0,"<b>Brian L. Walker (Rep)</b><br>14,985 votes",12,12
12,Rep,,Haralson County: County Commission 1,100.0,"<b>David W. Tarpley (I) (Rep)</b><br>3,763 votes",1,1
13,Rep,,Haralson County: County Commission 3,100.0,"<b>Eddie Ivey (Rep)</b><br>3,935 votes",6,6
14,Rep,,Haralson County: County BOE 1,100.0,"<b>Brad Davis (I) (Rep)</b><br>2,226 votes",3,3
15,Rep,,Haralson County: County BOE 4,100.0,"<b>Brenda Howell Agan (Rep)</b><br>2,317 votes",5,5
16,,,Haralson County: City of Bremen - Brunch Bill,60.99148723084626,"<b>Yes</b><br>2,436 votes",1,1
17,,,Haralson County: City of Bremen - Brunch Bill,39.00851276915373,"<b>No</b><br>1,558 votes",1,1
