,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42900,State Senate - District 29,65.2341763613155,"<b>Randy Robertson (I) (Rep)</b><br>62,859 votes",48,48
1,Dem,42900,State Senate - District 29,34.7658236386845,"<b>Ellen T. Wright (Dem)</b><br>33,500 votes",48,48
2,Rep,63800,State House of Representatives - District 138,100.0,"<b>Vance C. Smith, Jr. (I) (Rep)</b><br>28,129 votes",17,17
3,Rep,63900,State House of Representatives - District 139,64.13197013519876,"<b>Carmen Rice (I) (Rep)</b><br>19,069 votes",10,10
4,Dem,63900,State House of Representatives - District 139,35.86802986480124,"<b>Carl Sprayberry (Dem)</b><br>10,665 votes",10,10
5,Rep,70800,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
6,Dem,70800,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
7,Rep,,Harris County: Clerk of Superior Court,100.0,"<b>Stacy Koon Haralson (I) (Rep)</b><br>19,703 votes",12,12
8,Rep,,Harris County: Sheriff,100.0,"<b>Mike Jolley (I) (Rep)</b><br>19,918 votes",12,12
9,Rep,,Harris County: Tax Commissioner,100.0,"<b>Wanda Elliott Bates (I) (Rep)</b><br>19,714 votes",12,12
10,Rep,,Harris County: Coroner,100.0,"<b>Joseph W. Weldon (I) (Rep)</b><br>19,714 votes",12,12
11,Rep,,Harris County: County Commissioner 4,100.0,"<b>Bobby Irions (I) (Rep)</b><br>4,010 votes",5,5
12,Rep,,Harris County: County Commissioner 5,100.0,"<b>Susan G. Andrews (I) (Rep)</b><br>4,216 votes",2,2
