,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42400,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
1,Rep,53300,State House of Representatives - District 33,100.0,"<b>Alan Powell (I) (Rep)</b><br>29,061 votes",20,20
2,Rep,72500,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
3,Rep,,Hart County: Clerk of Superior Court,100.0,"<b>Hugh "" Frankie"" Gray (I) (Rep)</b><br>12,801 votes",7,7
4,Rep,,Hart County: Sheriff,100.0,"<b>Chris W. Carroll (Rep)</b><br>12,686 votes",7,7
5,Rep,,Hart County: Tax Commissioner,100.0,"<b>Karen Martin (I) (Rep)</b><br>12,847 votes",7,7
6,Rep,,Hart County: Surveyor,100.0,"<b>Dean H. Teasley (I) (Rep)</b><br>12,683 votes",7,7
7,Rep,,Hart County: Coroner,100.0,"<b>Mike Adams (I) (Rep)</b><br>12,733 votes",7,7
8,Rep,,Hart County: County Commissioner - District 1,62.120525600362484,"<b>Michael Bennett (I) (Rep)</b><br>1,371 votes",3,3
9,Dem,,Hart County: County Commissioner - District 1,37.879474399637516,<b>R.C. Oglesby (Dem)</b><br>836 votes,3,3
10,Rep,,Hart County: County Commissioner - District 3,100.0,"<b>Marshall Sayer (I) (Rep)</b><br>2,564 votes",2,2
11,Rep,,Hart County: County Commissioner - District 5,100.0,"<b>Joey Dorsey (I) (Rep)</b><br>2,217 votes",2,2
12,Dem,,Hart County: County BOE - District 1,100.0,"<b>Lonnie Robinson (I) (Dem)</b><br>1,731 votes",3,3
13,Rep,,Hart County: County BOE - District 3,100.0,"<b>Kimberly H. Pierce (I) (Rep)</b><br>2,516 votes",2,2
14,Rep,,Hart County: County BOE - District 5,100.0,"<b>Dennis Dowell (I) (Rep)</b><br>2,263 votes",2,2
