,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40600,State Senate - District 6,72.31136367857076,"<b>Matt Brass (I) (Rep)</b><br>77,875 votes",42,42
1,Dem,40600,State Senate - District 6,27.688636321429232,"<b>Jenny Enderlin (Dem)</b><br>29,819 votes",42,42
2,Rep,57200,State House of Representatives - District 72,75.49130897481376,"<b>David Huddleston (I) (Rep)</b><br>21,281 votes",17,17
3,Dem,57200,State House of Representatives - District 72,24.508691025186234,"<b>Rodney Ross Moore (Dem)</b><br>6,909 votes",17,17
4,Rep,71200,District Attorney - Coweta Judicial Circuit,100.0,"<b>Herb Cranford (I) (Rep)</b><br>162,345 votes",85,85
5,Rep,,Heard County: Clerk of Superior Court,100.0,"<b>Tammie Teal (I) (Rep)</b><br>5,732 votes",6,6
6,Rep,,Heard County: Sheriff,100.0,"<b>Ross Henry (I) (Rep)</b><br>5,763 votes",6,6
7,Rep,,Heard County: Tax Commissioner,100.0,"<b>Dianne Watson (I) (Rep)</b><br>5,764 votes",6,6
8,Rep,,Heard County: Coroner,100.0,"<b>Kathie Buchanan (I) (Rep)</b><br>5,755 votes",6,6
9,Rep,,Heard County: Chief Magistrate Judge,100.0,"<b>Brenda Jennings (I) (Rep)</b><br>5,685 votes",6,6
10,Rep,,Heard County: Commission Chair,100.0,"<b>Tracy McCormick (Rep)</b><br>5,730 votes",6,6
11,Rep,,Heard County: County Commission 1,100.0,"<b>Angie Stephens McCullough (Rep)</b><br>1,101 votes",2,2
12,Rep,,Heard County: County Commission 3,100.0,"<b>Iris D. Harris (I) (Rep)</b><br>1,194 votes",3,3
13,,,Heard County: West Georgia Soil and Water Conservation District Supervisor,100.0,"<b>Timothy C. Grizzard</b><br>5,357 votes",6,6
